move_const	move_name	type	category	power	accuracy	pp	priority	effect	target	flags	description	source_file	source_line	confidence
MOVE_SWIFT	Swift	TYPE_NORMAL	SPECIAL	60	0	20	0	EFFECT_HIT	BOTH	NONE	Sprays star-shaped rays  that never miss.	src/data/moves_info.h	3278	Measured
MOVE_SKULL_BASH	Skull Bash	TYPE_NORMAL	PHYSICAL	130	100	10	0	EFFECT_TWO_TURNS_ATTACK	SELECTED	makesContact	Tucks in the head, then  attacks on the next turn.	src/data/moves_info.h	3299	Measured
MOVE_SPIKE_CANNON	Spike Cannon	TYPE_NORMAL	PHYSICAL	20	100	15	0	EFFECT_MULTI_HIT	SELECTED	ballisticMove	Launches sharp spikes that  strike 2 to 5 times.	src/data/moves_info.h	3329	Measured
MOVE_CONSTRICT	Constrict	TYPE_NORMAL	PHYSICAL	10	100	35	0	EFFECT_HIT	SELECTED	makesContact	Constricts to inflict pain.  May lower Speed.	src/data/moves_info.h	3351	Measured
MOVE_AMNESIA	Amnesia	TYPE_PSYCHIC	STATUS	0	0	20	0	EFFECT_SPECIAL_DEFENSE_UP_2	USER	ignoresProtect	Forgets about something  and sharply raises Sp. Def.	src/data/moves_info.h	3377	Measured
MOVE_KINESIS	Kinesis	TYPE_PSYCHIC	STATUS	0	80	15	0	EFFECT_ACCURACY_DOWN	SELECTED	NONE	Distracts the foe.  May lower accuracy.	src/data/moves_info.h	3402	Measured
MOVE_SOFT_BOILED	Soft-Boiled	TYPE_NORMAL	STATUS	0	100	5	0	EFFECT_SOFTBOILED	USER	ignoresProtect,healingMove	Recovers up to half the  user's maximum HP.	src/data/moves_info.h	3425	Measured
MOVE_HIGH_JUMP_KICK	High Jump Kick	TYPE_FIGHTING	PHYSICAL	130	90	10	0	EFFECT_RECOIL_IF_MISS	SELECTED	makesContact,kickingMove,gravityBanned	A jumping knee kick. If it  misses, the user is hurt.	src/data/moves_info.h	3451	Measured
MOVE_GLARE	Glare	TYPE_NORMAL	STATUS	0	100	30	0	EFFECT_PARALYZE	SELECTED	NONE	Intimidates and frightens  the foe into paralysis.	src/data/moves_info.h	3481	Measured
MOVE_DREAM_EATER	Dream Eater	TYPE_PSYCHIC	SPECIAL	100	100	15	0	EFFECT_DREAM_EATER	SELECTED	NONE	Takes one half the damage  inflicted on a sleeping foe.	src/data/moves_info.h	3504	Measured
MOVE_POISON_GAS	Poison Gas	TYPE_POISON	STATUS	0	90	40	0	EFFECT_POISON	B_UPDATED_MOVE_DATA >= GEN_5 ? BOTH : SELECTED	NONE	Envelops the foe in a  gas that may poison.	src/data/moves_info.h	3526	Measured
MOVE_BARRAGE	Barrage	TYPE_NORMAL	PHYSICAL	15	85	20	0	EFFECT_MULTI_HIT	SELECTED	ballisticMove	Hurls round objects at the  foe 2 to 5 times.	src/data/moves_info.h	3549	Measured
MOVE_LEECH_LIFE	Leech Life	TYPE_BUG	PHYSICAL	80	100	15	0	EFFECT_ABSORB	SELECTED	makesContact	An attack that steals half  the damage inflicted.	src/data/moves_info.h	3571	Measured
MOVE_LOVELY_KISS	Lovely Kiss	TYPE_NORMAL	STATUS	0	85	10	0	EFFECT_SLEEP	SELECTED	NONE	Demands a kiss with a scary  face that induces sleep.	src/data/moves_info.h	3596	Measured
MOVE_SKY_ATTACK	Sky Attack	TYPE_FLYING	PHYSICAL	140	90	5	0	EFFECT_TWO_TURNS_ATTACK	SELECTED	NONE	Searches out weak spots,  then strikes the next turn.	src/data/moves_info.h	3619	Measured
MOVE_TRANSFORM	Transform	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_TRANSFORM	SELECTED	ignoresProtect	Alters the user's cells to  become a copy of the foe.	src/data/moves_info.h	3650	Measured
MOVE_BUBBLE	Bubble	TYPE_WATER	SPECIAL	40	100	30	0	EFFECT_HIT	BOTH	NONE	An attack using bubbles.  May lower the foe's Speed.	src/data/moves_info.h	3680	Measured
MOVE_DIZZY_PUNCH	Dizzy Punch	TYPE_NORMAL	PHYSICAL	70	100	10	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	A rhythmic punch that may  confuse the foe.	src/data/moves_info.h	3705	Measured
MOVE_SPORE	Spore	TYPE_GRASS	STATUS	0	100	15	0	EFFECT_SLEEP	SELECTED	powderMove	Scatters a cloud of spores  that always induce sleep.	src/data/moves_info.h	3732	Measured
MOVE_FLASH	Flash	TYPE_ELECTRIC	SPECIAL	60	100	20	0	EFFECT_HIT	SELECTED	NONE	Looses a blast of light  that may cut attack.	src/data/moves_info.h	3756	Measured
MOVE_PSYWAVE	Psywave	TYPE_PSYCHIC	SPECIAL	1	100	15	0	EFFECT_PSYWAVE	SELECTED	NONE	Attacks with a psychic  wave of varying intensity.	src/data/moves_info.h	3782	Measured
MOVE_SPLASH	Splash	TYPE_NORMAL	STATUS	0	0	40	0	EFFECT_DO_NOTHING	USER	ignoresProtect,gravityBanned	It's just a splash...  Has no effect whatsoever.	src/data/moves_info.h	3803	Measured
MOVE_ACID_ARMOR	Acid Armor	TYPE_POISON	STATUS	0	0	20	0	EFFECT_DEFENSE_UP_2	USER	ignoresProtect	Liquifies the user's body  to sharply raise Defense.	src/data/moves_info.h	3828	Measured
MOVE_CRABHAMMER	Crabhammer	TYPE_WATER	PHYSICAL	100	90	10	0	EFFECT_HIT	SELECTED	makesContact,criticalHitStage:1	Hammers with a pincer. Has a  high critical-hit ratio.	src/data/moves_info.h	3853	Measured
MOVE_EXPLOSION	Explosion	TYPE_NORMAL	PHYSICAL	150	100	5	0	EFFECT_EXPLOSION	FOES_AND_ALLY	NONE	Inflicts severe damage but  makes the user faint.	src/data/moves_info.h	3876	Measured
MOVE_FURY_SWIPES	Fury Swipes	TYPE_NORMAL	PHYSICAL	18	100	15	0	EFFECT_MULTI_HIT	SELECTED	makesContact	Rakes the foe with sharp  claws, etc., 2 to 5 times.	src/data/moves_info.h	3898	Measured
MOVE_BONEMERANG	Bonemerang	TYPE_GROUND	PHYSICAL	50	100	10	0	EFFECT_HIT	SELECTED	strikeCount:2	Throws a bone boomerang  that strikes twice.	src/data/moves_info.h	3920	Measured
MOVE_REST	Rest	TYPE_PSYCHIC	STATUS	0	0	5	0	EFFECT_REST	USER	ignoresProtect,healingMove	The user sleeps for 2 turns,  restoring HP and status.	src/data/moves_info.h	3943	Measured
MOVE_ROCK_SLIDE	Rock Slide	TYPE_ROCK	PHYSICAL	75	100	10	0	EFFECT_HIT	BOTH	NONE	Large boulders are hurled.  May cause flinching.	src/data/moves_info.h	3969	Measured
MOVE_HYPER_FANG	Hyper Fang	TYPE_NORMAL	PHYSICAL	80	100	15	0	EFFECT_HIT	SELECTED	makesContact,bitingMove	Attacks with sharp fangs.  May cause flinching.	src/data/moves_info.h	3994	Measured
MOVE_SHARPEN	Sharpen	TYPE_NORMAL	STATUS	0	0	30	0	EFFECT_ATTACK_UP	USER	ignoresProtect	Reduces the polygon count  and raises Attack.	src/data/moves_info.h	4021	Measured
MOVE_CONVERSION	Conversion	TYPE_NORMAL	STATUS	0	0	30	0	EFFECT_CONVERSION	USER	ignoresProtect	Changes the user's type  into a known move's type.	src/data/moves_info.h	4046	Measured
MOVE_TRI_ATTACK	Tri Attack	TYPE_NORMAL	SPECIAL	90	100	10	0	EFFECT_HIT	SELECTED	NONE	Fires three types of beams  at the same time.	src/data/moves_info.h	4071	Measured
MOVE_SUPER_FANG	Super Fang	TYPE_NORMAL	PHYSICAL	1	90	10	0	EFFECT_SUPER_FANG	SELECTED	makesContact	Attacks with sharp fangs  and cuts half the foe's HP.	src/data/moves_info.h	4096	Measured
MOVE_SLASH	Slash	TYPE_NORMAL	PHYSICAL	70	100	20	0	EFFECT_HIT	SELECTED	makesContact,slicingMove,criticalHitStage:1	Slashes with claws, etc. Has  a high critical-hit ratio.	src/data/moves_info.h	4119	Measured
MOVE_SUBSTITUTE	Substitute	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_SUBSTITUTE	USER	ignoresProtect	Creates a decoy using 1/4  of the user's maximum HP.	src/data/moves_info.h	4143	Measured
MOVE_STRUGGLE	Struggle	TYPE_NORMAL	PHYSICAL	50	0	1	0	EFFECT_RECOIL_HP_25	SELECTED	makesContact,recoil:25	Used only if all PP are gone.  Also hurts the user a little.	src/data/moves_info.h	4169	Measured
MOVE_SKETCH	Sketch	TYPE_NORMAL	STATUS	0	0	1	0	EFFECT_SKETCH	SELECTED	ignoresProtect,ignoresSubstitute	Copies the foe's last move  permanently.	src/data/moves_info.h	4207	Measured
MOVE_TRIPLE_KICK	Triple Kick	TYPE_FIGHTING	PHYSICAL	20	90	10	0	EFFECT_TRIPLE_KICK	SELECTED	makesContact,kickingMove,strikeCount:3	Kicks the foe 3 times in a  row with rising intensity.	src/data/moves_info.h	4240	Measured
MOVE_THIEF	Thief	TYPE_DARK	PHYSICAL	60	100	25	0	EFFECT_HIT	SELECTED	makesContact	While attacking, it may  steal the foe's held item.	src/data/moves_info.h	4264	Measured
MOVE_SPIDER_WEB	Spider Web	TYPE_BUG	STATUS	0	0	10	0	EFFECT_MEAN_LOOK	SELECTED	NONE	Ensnares the foe to stop it  from fleeing or switching.	src/data/moves_info.h	4294	Measured
MOVE_MIND_READER	Mind Reader	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_LOCK_ON	SELECTED	NONE	Senses the foe's action to  ensure the next move's hit.	src/data/moves_info.h	4318	Measured
MOVE_NIGHTMARE	Nightmare	TYPE_GHOST	STATUS	0	100	15	0	EFFECT_NIGHTMARE	SELECTED	NONE	Inflicts 1/4 damage on a  sleeping foe every turn.	src/data/moves_info.h	4340	Measured
MOVE_FLAME_WHEEL	Flame Wheel	TYPE_FIRE	PHYSICAL	60	100	25	0	EFFECT_HIT	SELECTED	makesContact,thawsUser	A fiery charge attack that  may inflict a burn.	src/data/moves_info.h	4363	Measured
MOVE_SNORE	Snore	TYPE_NORMAL	SPECIAL	50	100	15	0	EFFECT_SNORE	SELECTED	soundMove	A loud attack that can be  used only while asleep.	src/data/moves_info.h	4390	Measured
MOVE_CURSE	Curse	B_UPDATED_MOVE_TYPES >= GEN_5 ? TYPE_GHOST : TYPE_MYSTERY	STATUS	0	0	10	0	EFFECT_CURSE	SELECTED	ignoresProtect,ignoresSubstitute	A move that functions  differently for GHOSTS.	src/data/moves_info.h	4418	Measured
MOVE_FLAIL	Flail	TYPE_NORMAL	PHYSICAL	1	100	15	0	EFFECT_FLAIL	SELECTED	makesContact	Inflicts more damage when  the user's HP is down.	src/data/moves_info.h	4443	Measured
MOVE_CONVERSION_2	Conversion 2	TYPE_NORMAL	STATUS	0	0	30	0	EFFECT_CONVERSION_2	B_UPDATED_MOVE_DATA >= GEN_5 ? SELECTED : USER	ignoresSubstitute	Makes the user resistant  to the last attack's type.	src/data/moves_info.h	4465	Measured
MOVE_AEROBLAST	Aeroblast	TYPE_FLYING	SPECIAL	100	100	5	0	EFFECT_HIT	SELECTED	windMove,criticalHitStage:1	Launches a vacuumed blast.  High critical-hit ratio.	src/data/moves_info.h	4490	Measured
MOVE_COTTON_SPORE	Cotton Spore	TYPE_GRASS	STATUS	0	100	40	0	EFFECT_SPEED_DOWN_2	B_UPDATED_MOVE_DATA >= GEN_6 ? BOTH : SELECTED	powderMove	Spores cling to the foe,  sharply reducing Speed.	src/data/moves_info.h	4513	Measured
MOVE_REVERSAL	Reversal	TYPE_FIGHTING	PHYSICAL	1	100	15	0	EFFECT_FLAIL	SELECTED	makesContact	Inflicts more damage when  the user's HP is down.	src/data/moves_info.h	4537	Measured
MOVE_SPITE	Spite	TYPE_GHOST	STATUS	0	100	10	0	EFFECT_SPITE	SELECTED	ignoresSubstitute	Spitefully cuts the PP  of the foe's last move.	src/data/moves_info.h	4559	Measured
MOVE_POWDER_SNOW	Powder Snow	TYPE_ICE	SPECIAL	40	100	25	0	EFFECT_HIT	BOTH	NONE	Blasts the foe with a snowy  gust. May cause frostbite.	src/data/moves_info.h	4583	Measured
MOVE_PROTECT	Protect	TYPE_NORMAL	STATUS	0	0	10	4	EFFECT_PROTECT	USER	NONE	Evades attack, but may fail  if used in succession.	src/data/moves_info.h	4612	Measured
MOVE_MACH_PUNCH	Mach Punch	TYPE_FIGHTING	PHYSICAL	40	100	30	1	EFFECT_HIT	SELECTED	makesContact,punchingMove	A punch is thrown at wicked  speed to strike first.	src/data/moves_info.h	4637	Measured
MOVE_SCARY_FACE	Scary Face	TYPE_NORMAL	STATUS	0	100	10	0	EFFECT_SPEED_DOWN_2	SELECTED	NONE	Frightens with a scary face  to sharply reduce Speed.	src/data/moves_info.h	4660	Measured
MOVE_FEINT_ATTACK	Feint Attack	TYPE_DARK	PHYSICAL	60	0	20	0	EFFECT_HIT	SELECTED	NONE	Draws the foe close, then  strikes without fail.	src/data/moves_info.h	4683	Measured
MOVE_SWEET_KISS	Sweet Kiss	B_UPDATED_MOVE_TYPES >= GEN_6 ? TYPE_FAIRY : TYPE_NORMAL	STATUS	0	75	10	0	EFFECT_CONFUSE	SELECTED	NONE	Demands a kiss with a cute  look. May cause confusion.	src/data/moves_info.h	4705	Measured
MOVE_BELLY_DRUM	Belly Drum	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_BELLY_DRUM	USER	ignoresProtect	Maximizes Attack while  sacrificing HP.	src/data/moves_info.h	4728	Measured
MOVE_SLUDGE_BOMB	Sludge Bomb	TYPE_POISON	SPECIAL	90	100	10	0	EFFECT_HIT	SELECTED	ballisticMove	Sludge is hurled to inflict  damage. May also poison.	src/data/moves_info.h	4753	Measured
MOVE_MUD_SLAP	Mud-Slap	TYPE_GROUND	SPECIAL	40	100	10	0	EFFECT_HIT	SELECTED	NONE	Hurls mud in the foe's face  to reduce its accuracy.	src/data/moves_info.h	4779	Measured
MOVE_OCTAZOOKA	Octazooka	TYPE_WATER	SPECIAL	65	100	10	0	EFFECT_HIT	SELECTED	ballisticMove	Fires a lump of ink to  damage and cut accuracy.	src/data/moves_info.h	4800	Measured
MOVE_SPIKES	Spikes	TYPE_GROUND	STATUS	0	0	20	0	EFFECT_SPIKES	OPPONENTS_FIELD	ignoresProtect	Sets spikes that hurt a   foe switching in.	src/data/moves_info.h	4822	Measured
MOVE_ZAP_CANNON	Zap Cannon	TYPE_ELECTRIC	SPECIAL	120	50	5	0	EFFECT_HIT	SELECTED	ballisticMove	Powerful and sure to cause  paralysis, but inaccurate.	src/data/moves_info.h	4849	Measured
MOVE_FORESIGHT	Foresight	TYPE_NORMAL	STATUS	0	0	40	0	EFFECT_FORESIGHT	SELECTED	ignoresSubstitute	Negates the foe's efforts  to heighten evasiveness.	src/data/moves_info.h	4875	Measured
MOVE_DESTINY_BOND	Destiny Bond	TYPE_GHOST	STATUS	0	0	5	0	EFFECT_DESTINY_BOND	USER	ignoresProtect,ignoresSubstitute	If the user faints, the foe  is also made to faint.	src/data/moves_info.h	4899	Measured
MOVE_PERISH_SONG	Perish Song	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_PERISH_SONG	ALL_BATTLERS	ignoresProtect,soundMove	Any Pokémon hearing this  song faints in 3 turns.	src/data/moves_info.h	4927	Measured
MOVE_ICY_WIND	Icy Wind	TYPE_ICE	SPECIAL	55	100	15	0	EFFECT_HIT	BOTH	windMove	A chilling attack that  lowers the foe's Speed.	src/data/moves_info.h	4953	Measured
MOVE_DETECT	Detect	TYPE_FIGHTING	STATUS	0	0	5	4	EFFECT_PROTECT	USER	ignoresProtect	Evades attack, but may fail  if used in succession.	src/data/moves_info.h	4979	Measured
MOVE_BONE_RUSH	Bone Rush	TYPE_GROUND	PHYSICAL	25	100	10	0	EFFECT_MULTI_HIT	SELECTED	NONE	Strikes the foe with a bone  in hand 2 to 5 times.	src/data/moves_info.h	5006	Measured
MOVE_LOCK_ON	Lock-On	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_LOCK_ON	SELECTED	NONE	Locks on to the foe to  ensure the next move hits.	src/data/moves_info.h	5028	Measured
MOVE_OUTRAGE	Outrage	TYPE_DRAGON	PHYSICAL	120	100	10	0	EFFECT_HIT	RANDOM	makesContact	A rampage of 2 to 3 turns  that confuses the user.	src/data/moves_info.h	5050	Measured
MOVE_SANDSTORM	Sandstorm	TYPE_ROCK	STATUS	0	0	10	0	EFFECT_SANDSTORM	ALL_BATTLERS	ignoresProtect,windMove	Causes a sandstorm that  rages for several turns.	src/data/moves_info.h	5077	Measured
MOVE_GIGA_DRAIN	Giga Drain	TYPE_GRASS	SPECIAL	75	100	10	0	EFFECT_ABSORB	SELECTED	NONE	An attack that steals half  the damage inflicted.	src/data/moves_info.h	5102	Measured
MOVE_ENDURE	Endure	TYPE_NORMAL	STATUS	0	0	10	4	EFFECT_ENDURE	USER	ignoresProtect	Endures any attack for  1 turn, leaving at least 1HP.	src/data/moves_info.h	5126	Measured
MOVE_CHARM	Charm	B_UPDATED_MOVE_TYPES >= GEN_6 ? TYPE_FAIRY : TYPE_NORMAL	STATUS	0	100	5	0	EFFECT_ATTACK_DOWN_2	SELECTED	NONE	Charms the foe and sharply  reduces its Attack.	src/data/moves_info.h	5153	Measured
MOVE_ROLLOUT	Rollout	TYPE_ROCK	PHYSICAL	30	90	20	0	EFFECT_ROLLOUT	SELECTED	makesContact	An attack lasting 5 turns  with rising intensity.	src/data/moves_info.h	5176	Measured
MOVE_FALSE_SWIPE	False Swipe	TYPE_NORMAL	PHYSICAL	40	100	40	0	EFFECT_FALSE_SWIPE	SELECTED	makesContact,slicingMove	NONE	src/data/moves_info.h	5200	Measured
MOVE_SWAGGER	Swagger	TYPE_NORMAL	STATUS	0	90	15	0	EFFECT_SWAGGER	SELECTED	NONE	Confuses the foe, but also  sharply raises Attack.	src/data/moves_info.h	5221	Measured
MOVE_MILK_DRINK	Milk Drink	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_SOFTBOILED	USER	ignoresProtect,healingMove	Recovers up to half the  user's maximum HP.	src/data/moves_info.h	5244	Measured
MOVE_SPARK	Spark	TYPE_ELECTRIC	PHYSICAL	65	100	20	0	EFFECT_HIT	SELECTED	makesContact	An electrified tackle that  may paralyze the foe.	src/data/moves_info.h	5270	Measured
MOVE_FURY_CUTTER	Fury Cutter	TYPE_BUG	PHYSICAL	40	95	20	0	EFFECT_FURY_CUTTER	SELECTED	makesContact,slicingMove	An attack that intensifies  on each successive hit.	src/data/moves_info.h	5296	Measured
MOVE_STEEL_WING	Steel Wing	TYPE_STEEL	PHYSICAL	70	100	25	0	EFFECT_HIT	SELECTED	makesContact	Strikes the foe with hard  wings spread wide.	src/data/moves_info.h	5319	Measured
MOVE_MEAN_LOOK	Mean Look	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_MEAN_LOOK	SELECTED	NONE	Fixes the foe with a mean  look that prevents escape.	src/data/moves_info.h	5346	Measured
MOVE_ATTRACT	Attract	TYPE_NORMAL	STATUS	0	100	15	0	EFFECT_ATTRACT	SELECTED	ignoresSubstitute	Makes the opposite gender  less likely to attack.	src/data/moves_info.h	5370	Measured
MOVE_SLEEP_TALK	Sleep Talk	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_SLEEP_TALK	DEPENDS	ignoresProtect	Uses an available move  randomly while asleep.	src/data/moves_info.h	5394	Measured
MOVE_HEAL_BELL	Heal Bell	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_HEAL_BELL	USER	ignoresProtect,ignoresSubstitute	Chimes soothingly to heal  all status abnormalities.	src/data/moves_info.h	5425	Measured
MOVE_RETURN	Return	TYPE_NORMAL	PHYSICAL	1	100	20	0	EFFECT_RETURN	SELECTED	makesContact	An attack that increases  in power with friendship.	src/data/moves_info.h	5452	Measured
MOVE_PRESENT	Present	TYPE_NORMAL	PHYSICAL	1	90	15	0	EFFECT_PRESENT	SELECTED	NONE	A gift in the form of a  bomb. May restore HP.	src/data/moves_info.h	5474	Measured
MOVE_FRUSTRATION	Frustration	TYPE_NORMAL	PHYSICAL	1	100	20	0	EFFECT_FRUSTRATION	SELECTED	makesContact	An attack that is stronger  if the Trainer is disliked.	src/data/moves_info.h	5496	Measured
MOVE_SAFEGUARD	Safeguard	TYPE_NORMAL	STATUS	0	0	25	0	EFFECT_SAFEGUARD	USER	ignoresProtect	A mystical force prevents  all status problems.	src/data/moves_info.h	5518	Measured
MOVE_PAIN_SPLIT	Pain Split	TYPE_NORMAL	STATUS	0	0	20	0	EFFECT_PAIN_SPLIT	SELECTED	NONE	Adds the user and foe's HP,  then shares them equally.	src/data/moves_info.h	5543	Measured
MOVE_SACRED_FIRE	Sacred Fire	TYPE_FIRE	PHYSICAL	100	95	5	0	EFFECT_HIT	SELECTED	thawsUser	A mystical fire attack that  may inflict a burn.	src/data/moves_info.h	5565	Measured
MOVE_MAGNITUDE	Magnitude	TYPE_GROUND	PHYSICAL	1	100	30	0	EFFECT_MAGNITUDE	FOES_AND_ALLY	NONE	A ground-shaking attack  of random intensity.	src/data/moves_info.h	5591	Measured
MOVE_DYNAMIC_PUNCH	Dynamic Punch	TYPE_FIGHTING	PHYSICAL	100	50	5	0	EFFECT_HIT	SELECTED	makesContact,punchingMove	Powerful and sure to cause  confusion, but inaccurate.	src/data/moves_info.h	5614	Measured
MOVE_MEGAHORN	Megahorn	TYPE_BUG	PHYSICAL	120	85	10	0	EFFECT_HIT	SELECTED	makesContact	A brutal ramming attack  using out-thrust horns.	src/data/moves_info.h	5641	Measured
MOVE_DRAGON_BREATH	Dragon Breath	TYPE_DRAGON	SPECIAL	60	100	20	0	EFFECT_HIT	SELECTED	NONE	Strikes the foe with an  incredible blast of breath.	src/data/moves_info.h	5663	Measured
MOVE_BATON_PASS	Baton Pass	TYPE_NORMAL	STATUS	0	0	40	0	EFFECT_BATON_PASS	USER	ignoresProtect	Switches out the user while  keeping effects in play.	src/data/moves_info.h	5689	Measured
MOVE_ENCORE	Encore	TYPE_NORMAL	STATUS	0	100	5	0	EFFECT_ENCORE	SELECTED	ignoresSubstitute	Makes the foe repeat its  last move over 2 to 6 turns.	src/data/moves_info.h	5713	Measured
MOVE_PURSUIT	Pursuit	TYPE_DARK	PHYSICAL	40	100	20	0	EFFECT_PURSUIT	SELECTED	makesContact	Inflicts bad damage if used  on a foe switching out.	src/data/moves_info.h	5738	Measured
MOVE_RAPID_SPIN	Rapid Spin	TYPE_NORMAL	PHYSICAL	50	100	40	0	EFFECT_HIT	SELECTED	makesContact	Spins the body at high  speed to strike the foe.	src/data/moves_info.h	5761	Measured
MOVE_SWEET_SCENT	Sweet Scent	TYPE_NORMAL	STATUS	0	100	20	0	B_UPDATED_MOVE_DATA >= GEN_6 ? EFFECT_EVASION_DOWN_2 : EFFECT_EVASION_DOWN	BOTH	NONE	Allures the foe to reduce  evasiveness.	src/data/moves_info.h	5795	Measured
MOVE_IRON_TAIL	Iron Tail	TYPE_STEEL	PHYSICAL	100	75	15	0	EFFECT_HIT	SELECTED	makesContact	Attacks with a rock-hard  tail. May lower Defense.	src/data/moves_info.h	5818	Measured
MOVE_METAL_CLAW	Metal Claw	TYPE_STEEL	PHYSICAL	50	100	35	0	EFFECT_HIT	SELECTED	makesContact	A claw attack that may  raise the user's Attack.	src/data/moves_info.h	5844	Measured
MOVE_VITAL_THROW	Vital Throw	TYPE_FIGHTING	PHYSICAL	70	0	10	-1	EFFECT_HIT	SELECTED	makesContact	Makes the user's move last,  but it never misses.	src/data/moves_info.h	5871	Measured
MOVE_MORNING_SUN	Morning Sun	TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_MORNING_SUN	USER	ignoresProtect,healingMove	Restores HP. The amount  varies with the weather.	src/data/moves_info.h	5893	Measured
MOVE_SYNTHESIS	Synthesis	TYPE_GRASS	STATUS	0	0	5	0	EFFECT_SYNTHESIS	USER	ignoresProtect,healingMove	Restores HP. The amount  varies with the weather.	src/data/moves_info.h	5919	Measured
MOVE_MOONLIGHT	Moonlight	B_UPDATED_MOVE_TYPES >= GEN_6 ? TYPE_FAIRY : TYPE_NORMAL	STATUS	0	0	5	0	EFFECT_MOONLIGHT	USER	ignoresProtect,healingMove	Restores HP. The amount  varies with the weather.	src/data/moves_info.h	5945	Measured
MOVE_HIDDEN_POWER	Hidden Power	TYPE_NORMAL	SPECIAL	60	100	15	0	EFFECT_HIDDEN_POWER	SELECTED	NONE	The effectiveness varies  with the user.	src/data/moves_info.h	5971	Measured
MOVE_CROSS_CHOP	Cross Chop	TYPE_FIGHTING	PHYSICAL	100	80	5	0	EFFECT_HIT	SELECTED	makesContact,criticalHitStage:1	A double-chopping attack.  High critical-hit ratio.	src/data/moves_info.h	5992	Measured
MOVE_TWISTER	Twister	TYPE_DRAGON	SPECIAL	40	100	20	0	EFFECT_HIT	BOTH	windMove	Whips up a vicious twister  to tear at the foe.	src/data/moves_info.h	6015	Measured
MOVE_RAIN_DANCE	Rain Dance	TYPE_WATER	STATUS	0	0	5	0	EFFECT_RAIN_DANCE	ALL_BATTLERS	ignoresProtect	Boosts the power of Water-  type moves for 5 turns.	src/data/moves_info.h	6042	Measured
MOVE_SUNNY_DAY	Sunny Day	TYPE_FIRE	STATUS	0	0	5	0	EFFECT_SUNNY_DAY	ALL_BATTLERS	ignoresProtect	Boosts the power of Fire-  type moves for 5 turns.	src/data/moves_info.h	6066	Measured
MOVE_CRUNCH	Crunch	TYPE_DARK	PHYSICAL	80	100	15	0	EFFECT_HIT	SELECTED	makesContact,bitingMove	Crunches with sharp fangs.  May lower Defense.	src/data/moves_info.h	6090	Measured
MOVE_MIRROR_COAT	Mirror Coat	TYPE_PSYCHIC	SPECIAL	1	100	20	-5	EFFECT_MIRROR_COAT	DEPENDS	NONE	Counters the foe's special  attack at double the power.	src/data/moves_info.h	6125	Measured
MOVE_PSYCH_UP	Psych Up	TYPE_NORMAL	STATUS	0	0	10	0	EFFECT_PSYCH_UP	SELECTED	ignoresProtect,ignoresSubstitute	Copies the foe's effect(s)  and gives to the user.	src/data/moves_info.h	6150	Measured
MOVE_EXTREME_SPEED	Extreme Speed	TYPE_NORMAL	PHYSICAL	80	100	5	2	EFFECT_HIT	SELECTED	makesContact	An extremely fast and  powerful attack.	src/data/moves_info.h	6176	Measured
MOVE_ANCIENT_POWER	Ancient Power	TYPE_ROCK	SPECIAL	60	100	5	0	EFFECT_HIT	SELECTED	NONE	An attack that may raise  all stats.	src/data/moves_info.h	6198	Measured
MOVE_SHADOW_BALL	Shadow Ball	TYPE_GHOST	SPECIAL	80	100	15	0	EFFECT_HIT	SELECTED	ballisticMove	Hurls a black blob that may  lower the foe's Sp. Def.	src/data/moves_info.h	6225	Measured
MOVE_FUTURE_SIGHT	Future Sight	TYPE_PSYCHIC	SPECIAL	120	100	10	0	EFFECT_FUTURE_SIGHT	SELECTED	ignoresProtect	Heightens inner power to  strike 2 turns later.	src/data/moves_info.h	6251	Measured
MOVE_ROCK_SMASH	Rock Smash	TYPE_FIGHTING	PHYSICAL	60	100	15	0	EFFECT_HIT	SELECTED	makesContact	A rock-crushing attack  that may lower Defense.	src/data/moves_info.h	6274	Measured
MOVE_WHIRLPOOL	Whirlpool	TYPE_WATER	SPECIAL	35	85	15	0	EFFECT_HIT	SELECTED	NONE	Traps and hurts the foe in  a whirlpool for   turns.	src/data/moves_info.h	6300	Measured
MOVE_BEAT_UP	Beat Up	TYPE_DARK	PHYSICAL	25	100	10	0	EFFECT_MULTI_HIT	SELECTED	NONE	User attacks, bullying  the target 2 to 5 times.	src/data/moves_info.h	6325	Measured
MOVE_FAKE_OUT	Fake Out	TYPE_NORMAL	PHYSICAL	40	100	5	3	EFFECT_FIRST_TURN_ONLY	SELECTED	NONE	A 1st-turn, 1st-strike move  that causes flinching.	src/data/moves_info.h	6346	Measured
