species_const	species_name	earliest_cp	entry_reason	availability_confidence	in_pool
SPECIES_LEDIAN	Ledian	11	evolution:EVO_LEVEL@16:from SPECIES_LEDYBA	Derived	TRUE
SPECIES_SPINARAK	Spinarak	11	wild	Asserted	TRUE
SPECIES_ARIADOS	Ariados	11	evolution:EVO_LEVEL@16:from SPECIES_SPINARAK	Derived	TRUE
SPECIES_CHINCHOU	Chinchou	3	wild	Asserted	TRUE
SPECIES_LANTURN	Lanturn	3	wild	Asserted	TRUE
SPECIES_TOGEPI	Togepi	UNK	no path found	UNK	FALSE
SPECIES_TOGETIC	Togetic	13	wild	Asserted	TRUE
SPECIES_TOGEKISS	Togekiss	13	evolution:EVO_ITEM:ITEM_SHINY_STONE	Derived	TRUE
SPECIES_NATU	Natu	3	wild	Asserted	TRUE
SPECIES_XATU	Xatu	3	evolution:EVO_LEVEL@25:from SPECIES_NATU	Derived	TRUE
SPECIES_MAREEP	Mareep	1	starter:game_start	Measured	TRUE
SPECIES_FLAAFFY	Flaaffy	1	evolution:EVO_LEVEL@15:from SPECIES_MAREEP	Derived	TRUE
SPECIES_AMPHAROS	Ampharos	4	evolution:EVO_LEVEL@30:from SPECIES_FLAAFFY	Derived	TRUE
SPECIES_AMPHAROS_MEGA	Ampharos	4	mega/primal form of SPECIES_AMPHAROS (stone not resolved)	Inferred	TRUE
SPECIES_AZURILL	Azurill	11	wild	Derived	TRUE
SPECIES_MARILL	Marill	3	wild	Asserted	TRUE
SPECIES_AZUMARILL	Azumarill	3	wild	Asserted	TRUE
SPECIES_BONSLY	Bonsly	7	wild	Asserted	TRUE
SPECIES_SUDOWOODO	Sudowoodo	7	evolution:EVO_MOVE:MOVE_MIMIC:from SPECIES_BONSLY	Inferred	TRUE
SPECIES_HOPPIP	Hoppip	1	starter:game_start	Measured	TRUE
SPECIES_SKIPLOOM	Skiploom	2	evolution:EVO_LEVEL@16:from SPECIES_HOPPIP	Derived	TRUE
SPECIES_JUMPLUFF	Jumpluff	4	evolution:EVO_LEVEL@27:from SPECIES_SKIPLOOM	Derived	TRUE
SPECIES_AIPOM	Aipom	11	wild	Asserted	TRUE
SPECIES_AMBIPOM	Ambipom	11	evolution:EVO_MOVE:MOVE_DOUBLE_HIT:from SPECIES_AIPOM	Inferred	TRUE
SPECIES_SUNKERN	Sunkern	7	wild	Asserted	TRUE
SPECIES_SUNFLORA	Sunflora	7	evolution:EVO_ITEM:ITEM_SUN_STONE	Derived	TRUE
SPECIES_YANMA	Yanma	7	wild	Asserted	TRUE
SPECIES_YANMEGA	Yanmega	7	evolution:EVO_MOVE:MOVE_ANCIENT_POWER:from SPECIES_YANMA	Inferred	TRUE
SPECIES_WOOPER	Wooper	4	wild	Asserted	TRUE
SPECIES_QUAGSIRE	Quagsire	4	wild	Asserted	TRUE
SPECIES_WOOPER_PALDEA	Wooper	4	wild	Asserted	TRUE
SPECIES_CLODSIRE	Clodsire	4	wild	Asserted	TRUE
SPECIES_MURKROW	Murkrow	6	wild	Asserted	TRUE
SPECIES_HONCHKROW	Honchkrow	13	evolution:EVO_ITEM:ITEM_DUSK_STONE	Derived	TRUE
SPECIES_MISDREAVUS	Misdreavus	3	wild	Asserted	TRUE
SPECIES_MISMAGIUS	Mismagius	13	evolution:EVO_ITEM:ITEM_DUSK_STONE	Derived	TRUE
SPECIES_UNOWN	Unown	9	wild	Asserted	TRUE
SPECIES_UNOWN_B	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_C	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_D	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_E	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_F	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_G	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_H	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_I	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_J	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_K	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_L	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_M	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_N	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_O	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_P	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_Q	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_R	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_S	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_T	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_U	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_V	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_W	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_X	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_Y	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_Z	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_EXCLAMATION	Unown	UNK	no path found	UNK	FALSE
SPECIES_UNOWN_QUESTION	Unown	UNK	no path found	UNK	FALSE
SPECIES_WYNAUT	Wynaut	9	wild	Asserted	TRUE
SPECIES_WOBBUFFET	Wobbuffet	9	evolution:EVO_LEVEL@15:from SPECIES_WYNAUT	Derived	TRUE
SPECIES_GIRAFARIG	Girafarig	9	wild	Asserted	TRUE
SPECIES_FARIGIRAF	Farigiraf	9	evolution:EVO_LEVEL@45:from SPECIES_GIRAFARIG	Derived	TRUE
SPECIES_PINECO	Pineco	7	wild	Asserted	TRUE
SPECIES_FORRETRESS	Forretress	7	evolution:EVO_LEVEL@28:from SPECIES_PINECO	Derived	TRUE
SPECIES_DUNSPARCE	Dunsparce	3	wild	Asserted	TRUE
SPECIES_DUDUNSPARCE_TWO_SEGMENT	Dudunsparce	3	evolution:EVO_MOVE_TWO_SEGMENT:MOVE_HYPER_DRILL:from SPECIES_DUNSPARCE	Inferred	TRUE
SPECIES_DUDUNSPARCE_THREE_SEGMENT	Dudunsparce	8	evolution:EVO_LEVEL@45:from SPECIES_DUNSPARCE	Derived	TRUE
SPECIES_GLIGAR	Gligar	3	wild	Asserted	TRUE
SPECIES_GLISCOR	Gliscor	4	wild	Asserted	TRUE
SPECIES_SNUBBULL	Snubbull	1	wild	Asserted	TRUE
SPECIES_GRANBULL	Granbull	3	evolution:EVO_LEVEL@23:from SPECIES_SNUBBULL	Derived	TRUE
SPECIES_QWILFISH	Qwilfish	1	wild	Asserted	TRUE
SPECIES_QWILFISH_HISUI	Qwilfish	4	wild	Asserted	TRUE
SPECIES_OVERQWIL	Overqwil	4	wild	Asserted	TRUE
SPECIES_SHUCKLE	Shuckle	7	wild	Asserted	TRUE
SPECIES_HERACROSS	Heracross	3	wild	Asserted	TRUE
SPECIES_HERACROSS_MEGA	Heracross	3	mega/primal form of SPECIES_HERACROSS (stone not resolved)	Inferred	TRUE
SPECIES_SNEASEL	Sneasel	7	wild	Asserted	TRUE
SPECIES_WEAVILE	Weavile	13	wild	Asserted	TRUE
SPECIES_SNEASEL_HISUI	Sneasel	6	wild	Asserted	TRUE
SPECIES_SNEASLER	Sneasler	8	evolution:EVO_LEVEL@47:from SPECIES_SNEASEL_HISUI	Derived	TRUE
SPECIES_TEDDIURSA	Teddiursa	1	wild	Asserted	TRUE
SPECIES_URSARING	Ursaring	4	wild	Asserted	TRUE
SPECIES_URSALUNA	Ursaluna	9	evolution:EVO_LEVEL_DAY@48:from SPECIES_URSARING	Derived	TRUE
SPECIES_URSALUNA_BLOODMOON	Ursaluna	9	evolution:EVO_LEVEL_NIGHT@48:from SPECIES_URSARING	Derived	TRUE
SPECIES_SLUGMA	Slugma	7	wild	Asserted	TRUE
SPECIES_MAGCARGO	Magcargo	7	evolution:EVO_LEVEL@23:from SPECIES_SLUGMA	Derived	TRUE
SPECIES_SWINUB	Swinub	1	starter:game_start	Measured	TRUE
SPECIES_PILOSWINE	Piloswine	4	evolution:EVO_LEVEL@28:from SPECIES_SWINUB	Derived	TRUE
SPECIES_MAMOSWINE	Mamoswine	4	evolution:EVO_MOVE:MOVE_ANCIENT_POWER:from SPECIES_PILOSWINE	Inferred	TRUE
SPECIES_CORSOLA	Corsola	1	wild	Asserted	TRUE
SPECIES_CORSOLA_GALAR	Corsola	3	wild	Asserted	TRUE
SPECIES_CURSOLA	Cursola	3	wild	Asserted	TRUE
SPECIES_REMORAID	Remoraid	1	wild	Asserted	TRUE
SPECIES_OCTILLERY	Octillery	1	wild	Asserted	TRUE
SPECIES_DELIBIRD	Delibird	9	wild	Asserted	TRUE
SPECIES_MANTYKE	Mantyke	1	wild	Asserted	TRUE
SPECIES_MANTINE	Mantine	1	wild	Asserted	TRUE
SPECIES_SKARMORY	Skarmory	3	wild	Asserted	TRUE
SPECIES_HOUNDOUR	Houndour	6	wild	Asserted	TRUE
SPECIES_HOUNDOOM	Houndoom	6	evolution:EVO_LEVEL@23:from SPECIES_HOUNDOUR	Derived	TRUE
SPECIES_HOUNDOOM_MEGA	Houndoom	6	mega/primal form of SPECIES_HOUNDOOM (stone not resolved)	Inferred	TRUE
SPECIES_PHANPY	Phanpy	1	wild	Asserted	TRUE
SPECIES_DONPHAN	Donphan	3	evolution:EVO_LEVEL@25:from SPECIES_PHANPY	Derived	TRUE
SPECIES_STANTLER	Stantler	7	wild	Asserted	TRUE
SPECIES_WYRDEER	Wyrdeer	7	evolution:EVO_LEVEL@44:from SPECIES_STANTLER	Derived	TRUE
SPECIES_SMEARGLE	Smeargle	13	wild	Asserted	TRUE
SPECIES_MILTANK	Miltank	11	wild	Asserted	TRUE
SPECIES_RAIKOU	Raikou	UNK	no path found	UNK	FALSE
SPECIES_ENTEI	Entei	UNK	no path found	UNK	FALSE
SPECIES_SUICUNE	Suicune	UNK	no path found	UNK	FALSE
SPECIES_LARVITAR	Larvitar	6	wild	Asserted	TRUE
SPECIES_PUPITAR	Pupitar	6	evolution:EVO_LEVEL@30:from SPECIES_LARVITAR	Derived	TRUE
SPECIES_TYRANITAR	Tyranitar	9	evolution:EVO_LEVEL@55:from SPECIES_PUPITAR	Derived	TRUE
SPECIES_TYRANITAR_MEGA	Tyranitar	9	mega/primal form of SPECIES_TYRANITAR (stone not resolved)	Inferred	TRUE
SPECIES_LUGIA	Lugia	UNK	no path found	UNK	FALSE
SPECIES_HO_OH	Ho-Oh	UNK	no path found	UNK	FALSE
SPECIES_CELEBI	Celebi	UNK	no path found	UNK	FALSE
SPECIES_TREECKO	Treecko	1	starter:game_start	Measured	TRUE
SPECIES_GROVYLE	Grovyle	2	evolution:EVO_LEVEL@16:from SPECIES_TREECKO	Derived	TRUE
SPECIES_SCEPTILE	Sceptile	7	evolution:EVO_LEVEL@36:from SPECIES_GROVYLE	Derived	TRUE
SPECIES_SCEPTILE_MEGA	Sceptile	7	mega/primal form of SPECIES_SCEPTILE (stone not resolved)	Inferred	TRUE
SPECIES_TORCHIC	Torchic	1	starter:game_start	Measured	TRUE
SPECIES_COMBUSKEN	Combusken	2	evolution:EVO_LEVEL@16:from SPECIES_TORCHIC	Derived	TRUE
SPECIES_BLAZIKEN	Blaziken	7	evolution:EVO_LEVEL@36:from SPECIES_COMBUSKEN	Derived	TRUE
SPECIES_BLAZIKEN_MEGA	Blaziken	7	mega/primal form of SPECIES_BLAZIKEN (stone not resolved)	Inferred	TRUE
SPECIES_MUDKIP	Mudkip	1	starter:game_start	Measured	TRUE
SPECIES_MARSHTOMP	Marshtomp	2	evolution:EVO_LEVEL@16:from SPECIES_MUDKIP	Derived	TRUE
SPECIES_SWAMPERT	Swampert	7	evolution:EVO_LEVEL@36:from SPECIES_MARSHTOMP	Derived	TRUE
SPECIES_SWAMPERT_MEGA	Swampert	7	mega/primal form of SPECIES_SWAMPERT (stone not resolved)	Inferred	TRUE
SPECIES_POOCHYENA	Poochyena	1	wild	Asserted	TRUE
SPECIES_MIGHTYENA	Mightyena	2	evolution:EVO_LEVEL@16:from SPECIES_POOCHYENA	Derived	TRUE
SPECIES_ZIGZAGOON	Zigzagoon	1	wild	Asserted	TRUE
SPECIES_LINOONE	Linoone	2	evolution:EVO_LEVEL@16:from SPECIES_ZIGZAGOON	Derived	TRUE
SPECIES_ZIGZAGOON_GALAR	Zigzagoon	1	starter:game_start	Measured	TRUE
SPECIES_LINOONE_GALAR	Linoone	2	evolution:EVO_LEVEL@16:from SPECIES_ZIGZAGOON_GALAR	Derived	TRUE
SPECIES_OBSTAGOON	Obstagoon	7	evolution:EVO_LEVEL_NIGHT@35:from SPECIES_LINOONE_GALAR	Derived	TRUE
SPECIES_WURMPLE	Wurmple	1	wild	Asserted	TRUE
SPECIES_SILCOON	Silcoon	1	evolution:EVO_LEVEL_SILCOON@7:from SPECIES_WURMPLE	Derived	TRUE
SPECIES_BEAUTIFLY	Beautifly	1	evolution:EVO_LEVEL@10:from SPECIES_SILCOON	Derived	TRUE
SPECIES_CASCOON	Cascoon	1	evolution:EVO_LEVEL_CASCOON@7:from SPECIES_WURMPLE	Derived	TRUE
SPECIES_DUSTOX	Dustox	1	evolution:EVO_LEVEL@10:from SPECIES_CASCOON	Derived	TRUE
SPECIES_LOTAD	Lotad	1	wild	Asserted	TRUE
SPECIES_LOMBRE	Lombre	1	evolution:EVO_LEVEL@14:from SPECIES_LOTAD	Derived	TRUE
SPECIES_LUDICOLO	Ludicolo	1	evolution:EVO_ITEM:ITEM_WATER_STONE	Derived	TRUE
SPECIES_SEEDOT	Seedot	1	wild	Asserted	TRUE
SPECIES_NUZLEAF	Nuzleaf	1	evolution:EVO_LEVEL@14:from SPECIES_SEEDOT	Derived	TRUE
SPECIES_SHIFTRY	Shiftry	11	evolution:EVO_ITEM:ITEM_LEAF_STONE	Derived	TRUE
SPECIES_TAILLOW	Taillow	6	wild	Asserted	TRUE
SPECIES_SWELLOW	Swellow	6	evolution:EVO_LEVEL@22:from SPECIES_TAILLOW	Derived	TRUE
SPECIES_WINGULL	Wingull	1	wild	Asserted	TRUE
SPECIES_PELIPPER	Pelipper	1	wild	Asserted	TRUE
SPECIES_RALTS	Ralts	1	wild	Asserted	TRUE
SPECIES_KIRLIA	Kirlia	2	evolution:EVO_LEVEL@20:from SPECIES_RALTS	Derived	TRUE
SPECIES_GARDEVOIR	Gardevoir	4	evolution:EVO_LEVEL@30:from SPECIES_KIRLIA	Derived	TRUE
SPECIES_GARDEVOIR_MEGA	Gardevoir	4	mega/primal form of SPECIES_GARDEVOIR (stone not resolved)	Inferred	TRUE
SPECIES_GALLADE	Gallade	13	evolution:EVO_ITEM_MALE:ITEM_DAWN_STONE	Derived	TRUE
SPECIES_GALLADE_MEGA	Gallade	13	mega/primal form of SPECIES_GALLADE (stone not resolved)	Inferred	TRUE
SPECIES_SURSKIT	Surskit	1	wild	Asserted	TRUE
SPECIES_MASQUERAIN	Masquerain	1	wild	Asserted	TRUE
SPECIES_SHROOMISH	Shroomish	1	wild	Asserted	TRUE
SPECIES_BRELOOM	Breloom	3	evolution:EVO_LEVEL@23:from SPECIES_SHROOMISH	Derived	TRUE
SPECIES_SLAKOTH	Slakoth	7	wild	Asserted	TRUE
SPECIES_VIGOROTH	Vigoroth	7	evolution:EVO_LEVEL@18:from SPECIES_SLAKOTH	Derived	TRUE
SPECIES_SLAKING	Slaking	7	evolution:EVO_LEVEL@36:from SPECIES_VIGOROTH	Derived	TRUE
SPECIES_NINCADA	Nincada	1	wild	Asserted	TRUE
SPECIES_NINJASK	Ninjask	2	evolution:EVO_LEVEL_NINJASK@20:from SPECIES_NINCADA	Derived	TRUE
SPECIES_SHEDINJA	Shedinja	17	wild	Asserted	TRUE
SPECIES_WHISMUR	Whismur	1	starter:game_start	Measured	TRUE
SPECIES_LOUDRED	Loudred	2	evolution:EVO_LEVEL@20:from SPECIES_WHISMUR	Derived	TRUE
SPECIES_EXPLOUD	Exploud	7	evolution:EVO_LEVEL@36:from SPECIES_LOUDRED	Derived	TRUE
SPECIES_MAKUHITA	Makuhita	3	wild	Asserted	TRUE
SPECIES_HARIYAMA	Hariyama	3	evolution:EVO_LEVEL@24:from SPECIES_MAKUHITA	Derived	TRUE
SPECIES_NOSEPASS	Nosepass	3	wild	Asserted	TRUE
SPECIES_PROBOPASS	Probopass	13	evolution:EVO_ITEM:ITEM_METAL_COAT	Derived	TRUE
SPECIES_SKITTY	Skitty	1	wild	Asserted	TRUE
SPECIES_DELCATTY	Delcatty	13	evolution:EVO_ITEM:ITEM_MOON_STONE	Derived	TRUE
SPECIES_SABLEYE	Sableye	3	wild	Asserted	TRUE
SPECIES_SABLEYE_MEGA	Sableye	3	mega/primal form of SPECIES_SABLEYE (stone not resolved)	Inferred	TRUE
SPECIES_MAWILE	Mawile	3	wild	Asserted	TRUE
SPECIES_MAWILE_MEGA	Mawile	3	mega/primal form of SPECIES_MAWILE (stone not resolved)	Inferred	TRUE
SPECIES_ARON	Aron	2	wild	Asserted	TRUE
SPECIES_LAIRON	Lairon	5	evolution:EVO_LEVEL@32:from SPECIES_ARON	Derived	TRUE
SPECIES_AGGRON	Aggron	7	evolution:EVO_LEVEL@42:from SPECIES_LAIRON	Derived	TRUE
SPECIES_AGGRON_MEGA	Aggron	7	mega/primal form of SPECIES_AGGRON (stone not resolved)	Inferred	TRUE
SPECIES_MEDITITE	Meditite	3	wild	Asserted	TRUE
SPECIES_MEDICHAM	Medicham	7	evolution:EVO_LEVEL@37:from SPECIES_MEDITITE	Derived	TRUE
SPECIES_MEDICHAM_MEGA	Medicham	7	mega/primal form of SPECIES_MEDICHAM (stone not resolved)	Inferred	TRUE
SPECIES_ELECTRIKE	Electrike	4	wild	Asserted	TRUE
SPECIES_MANECTRIC	Manectric	4	evolution:EVO_LEVEL@26:from SPECIES_ELECTRIKE	Derived	TRUE
SPECIES_MANECTRIC_MEGA	Manectric	4	mega/primal form of SPECIES_MANECTRIC (stone not resolved)	Inferred	TRUE
SPECIES_PLUSLE	Plusle	4	wild	Asserted	TRUE
SPECIES_MINUN	Minun	4	wild	Asserted	TRUE
SPECIES_VOLBEAT	Volbeat	6	wild	Asserted	TRUE
SPECIES_ILLUMISE	Illumise	6	wild	Asserted	TRUE
SPECIES_BUDEW	Budew	1	starter:game_start	Measured	TRUE
SPECIES_ROSELIA	Roselia	1	evolution:EVO_FRIENDSHIP_DAY:0:from SPECIES_BUDEW	Inferred	TRUE
SPECIES_ROSERADE	Roserade	5	evolution:EVO_ITEM:ITEM_SHINY_STONE	Derived	TRUE
SPECIES_GULPIN	Gulpin	11	wild	Asserted	TRUE
SPECIES_SWALOT	Swalot	11	evolution:EVO_LEVEL@26:from SPECIES_GULPIN	Derived	TRUE
SPECIES_CARVANHA	Carvanha	4	wild	Asserted	TRUE
SPECIES_SHARPEDO	Sharpedo	4	wild	Asserted	TRUE
SPECIES_SHARPEDO_MEGA	Sharpedo	4	mega/primal form of SPECIES_SHARPEDO (stone not resolved)	Inferred	TRUE
SPECIES_WAILMER	Wailmer	4	wild	Asserted	TRUE
SPECIES_WAILORD	Wailord	4	wild	Asserted	TRUE
SPECIES_NUMEL	Numel	6	wild	Asserted	TRUE
SPECIES_CAMERUPT	Camerupt	6	evolution:EVO_LEVEL@33:from SPECIES_NUMEL	Derived	TRUE
SPECIES_CAMERUPT_MEGA	Camerupt	6	mega/primal form of SPECIES_CAMERUPT (stone not resolved)	Inferred	TRUE
SPECIES_TORKOAL	Torkoal	7	wild	Asserted	TRUE
SPECIES_SPOINK	Spoink	3	wild	Asserted	TRUE
SPECIES_GRUMPIG	Grumpig	5	evolution:EVO_LEVEL@32:from SPECIES_SPOINK	Derived	TRUE
SPECIES_SPINDA	Spinda	7	wild	Asserted	TRUE
SPECIES_TRAPINCH	Trapinch	1	starter:game_start	Measured	TRUE
SPECIES_VIBRAVA	Vibrava	6	evolution:EVO_LEVEL@34:from SPECIES_TRAPINCH	Derived	TRUE
SPECIES_FLYGON	Flygon	7	evolution:EVO_LEVEL@44:from SPECIES_VIBRAVA	Derived	TRUE
SPECIES_CACNEA	Cacnea	6	wild	Asserted	TRUE
SPECIES_CACTURNE	Cacturne	6	evolution:EVO_LEVEL@28:from SPECIES_CACNEA	Derived	TRUE
SPECIES_SWABLU	Swablu	7	wild	Asserted	TRUE
SPECIES_ALTARIA	Altaria	7	evolution:EVO_LEVEL@35:from SPECIES_SWABLU	Derived	TRUE
SPECIES_ALTARIA_MEGA	Altaria	7	mega/primal form of SPECIES_ALTARIA (stone not resolved)	Inferred	TRUE
SPECIES_ZANGOOSE	Zangoose	7	wild	Asserted	TRUE
SPECIES_SEVIPER	Seviper	7	wild	Asserted	TRUE
SPECIES_LUNATONE	Lunatone	7	wild	Asserted	TRUE
SPECIES_SOLROCK	Solrock	7	wild	Asserted	TRUE
SPECIES_BARBOACH	Barboach	4	wild	Asserted	TRUE
SPECIES_WHISCASH	Whiscash	4	wild	Asserted	TRUE
SPECIES_CORPHISH	Corphish	1	wild	Asserted	TRUE
SPECIES_CRAWDAUNT	Crawdaunt	1	wild	Asserted	TRUE
SPECIES_BALTOY	Baltoy	6	wild	Asserted	TRUE
SPECIES_CLAYDOL	Claydol	7	evolution:EVO_LEVEL@36:from SPECIES_BALTOY	Derived	TRUE
SPECIES_LILEEP	Lileep	UNK	no path found	UNK	FALSE
SPECIES_CRADILY	Cradily	UNK	no path found	UNK	FALSE
SPECIES_ANORITH	Anorith	UNK	no path found	UNK	FALSE
SPECIES_ARMALDO	Armaldo	UNK	no path found	UNK	FALSE
SPECIES_FEEBAS	Feebas	6	wild	Asserted	TRUE
SPECIES_MILOTIC	Milotic	6	evolution:EVO_BEAUTY:170:from SPECIES_FEEBAS	Inferred	TRUE
SPECIES_CASTFORM_NORMAL	Castform	UNK	no path found	UNK	FALSE
SPECIES_CASTFORM_SUNNY	Castform	UNK	no path found	UNK	FALSE
SPECIES_CASTFORM_RAINY	Castform	UNK	no path found	UNK	FALSE
SPECIES_CASTFORM_SNOWY	Castform	UNK	no path found	UNK	FALSE
SPECIES_KECLEON	Kecleon	UNK	no path found	UNK	FALSE
SPECIES_SHUPPET	Shuppet	3	wild	Asserted	TRUE
SPECIES_BANETTE	Banette	7	evolution:EVO_LEVEL@36:from SPECIES_SHUPPET	Derived	TRUE
SPECIES_BANETTE_MEGA	Banette	7	mega/primal form of SPECIES_BANETTE (stone not resolved)	Inferred	TRUE
SPECIES_DUSKULL	Duskull	1	starter:game_start	Measured	TRUE
SPECIES_DUSCLOPS	Dusclops	7	evolution:EVO_LEVEL@37:from SPECIES_DUSKULL	Derived	TRUE
SPECIES_DUSKNOIR	Dusknoir	13	evolution:EVO_ITEM:ITEM_LINKING_CORD	Derived	TRUE
SPECIES_TROPIUS	Tropius	7	wild	Asserted	TRUE
SPECIES_CHINGLING	Chingling	9	wild	Asserted	TRUE
SPECIES_CHIMECHO	Chimecho	9	evolution:EVO_FRIENDSHIP_NIGHT:0:from SPECIES_CHINGLING	Inferred	TRUE
SPECIES_ABSOL	Absol	7	wild	Asserted	TRUE
SPECIES_ABSOL_MEGA	Absol	7	mega/primal form of SPECIES_ABSOL (stone not resolved)	Inferred	TRUE
SPECIES_SNORUNT	Snorunt	7	wild	Asserted	TRUE
SPECIES_GLALIE	Glalie	7	evolution:EVO_LEVEL@42:from SPECIES_SNORUNT	Derived	TRUE
SPECIES_GLALIE_MEGA	Glalie	7	mega/primal form of SPECIES_GLALIE (stone not resolved)	Inferred	TRUE
SPECIES_FROSLASS	Froslass	13	evolution:EVO_ITEM_FEMALE:ITEM_DAWN_STONE	Derived	TRUE
SPECIES_SPHEAL	Spheal	1	starter:game_start	Measured	TRUE
SPECIES_SEALEO	Sealeo	5	evolution:EVO_LEVEL@32:from SPECIES_SPHEAL	Derived	TRUE
SPECIES_WALREIN	Walrein	7	evolution:EVO_LEVEL@44:from SPECIES_SEALEO	Derived	TRUE
SPECIES_CLAMPERL	Clamperl	1	wild	Asserted	TRUE
SPECIES_HUNTAIL	Huntail	1	wild	Asserted	TRUE
SPECIES_GOREBYSS	Gorebyss	1	wild	Asserted	TRUE
SPECIES_RELICANTH	Relicanth	4	wild	Asserted	TRUE
SPECIES_LUVDISC	Luvdisc	3	wild	Asserted	TRUE
SPECIES_BAGON	Bagon	1	starter:game_start	Measured	TRUE
SPECIES_SHELGON	Shelgon	4	wild	Asserted	TRUE
SPECIES_SALAMENCE	Salamence	9	evolution:EVO_LEVEL@50:from SPECIES_SHELGON	Derived	TRUE
SPECIES_SALAMENCE_MEGA	Salamence	9	mega/primal form of SPECIES_SALAMENCE (stone not resolved)	Inferred	TRUE
SPECIES_BELDUM	Beldum	3	wild	Asserted	TRUE
SPECIES_METANG	Metang	3	evolution:EVO_LEVEL@20:from SPECIES_BELDUM	Derived	TRUE
SPECIES_METAGROSS	Metagross	8	evolution:EVO_LEVEL@45:from SPECIES_METANG	Derived	TRUE
SPECIES_METAGROSS_MEGA	Metagross	8	mega/primal form of SPECIES_METAGROSS (stone not resolved)	Inferred	TRUE
SPECIES_REGIROCK	Regirock	UNK	no path found	UNK	FALSE
SPECIES_REGICE	Regice	UNK	no path found	UNK	FALSE
SPECIES_REGISTEEL	Registeel	UNK	no path found	UNK	FALSE
SPECIES_LATIAS	Latias	UNK	no path found	UNK	FALSE
SPECIES_LATIAS_MEGA	Latias	UNK	no path found	UNK	FALSE
SPECIES_LATIOS	Latios	UNK	no path found	UNK	FALSE
SPECIES_LATIOS_MEGA	Latios	UNK	no path found	UNK	FALSE
SPECIES_KYOGRE	Kyogre	UNK	no path found	UNK	FALSE
SPECIES_KYOGRE_PRIMAL	Kyogre	UNK	no path found	UNK	FALSE
SPECIES_GROUDON	Groudon	UNK	no path found	UNK	FALSE
SPECIES_GROUDON_PRIMAL	Groudon	UNK	no path found	UNK	FALSE
SPECIES_RAYQUAZA	Rayquaza	UNK	no path found	UNK	FALSE
SPECIES_RAYQUAZA_MEGA	Rayquaza	UNK	no path found	UNK	FALSE
SPECIES_JIRACHI	Jirachi	UNK	no path found	UNK	FALSE
SPECIES_DEOXYS_NORMAL	Deoxys	UNK	no path found	UNK	FALSE
SPECIES_DEOXYS_ATTACK	Deoxys	UNK	no path found	UNK	FALSE
SPECIES_DEOXYS_DEFENSE	Deoxys	UNK	no path found	UNK	FALSE
SPECIES_DEOXYS_SPEED	Deoxys	UNK	no path found	UNK	FALSE
SPECIES_TURTWIG	Turtwig	1	starter:game_start	Measured	TRUE
SPECIES_GROTLE	Grotle	2	evolution:EVO_LEVEL@16:from SPECIES_TURTWIG	Derived	TRUE
SPECIES_TORTERRA	Torterra	7	evolution:EVO_LEVEL@36:from SPECIES_GROTLE	Derived	TRUE
SPECIES_CHIMCHAR	Chimchar	1	starter:game_start	Measured	TRUE
SPECIES_MONFERNO	Monferno	2	evolution:EVO_LEVEL@16:from SPECIES_CHIMCHAR	Derived	TRUE
SPECIES_INFERNAPE	Infernape	7	evolution:EVO_LEVEL@36:from SPECIES_MONFERNO	Derived	TRUE
SPECIES_PIPLUP	Piplup	1	starter:game_start	Measured	TRUE
SPECIES_PRINPLUP	Prinplup	2	evolution:EVO_LEVEL@16:from SPECIES_PIPLUP	Derived	TRUE
SPECIES_EMPOLEON	Empoleon	7	evolution:EVO_LEVEL@36:from SPECIES_PRINPLUP	Derived	TRUE
SPECIES_STARLY	Starly	1	wild	Asserted	TRUE
SPECIES_STARAVIA	Staravia	1	evolution:EVO_LEVEL@14:from SPECIES_STARLY	Derived	TRUE
SPECIES_STARAPTOR	Staraptor	6	evolution:EVO_LEVEL@34:from SPECIES_STARAVIA	Derived	TRUE
