species_const	species_name	checkpoint	roster_cp	roster_borrowed	level	floor_score	floor_moves	ceiling_score	ceiling_track	ceiling_ability	ceiling_nature	ceiling_item	ceiling_moves	ceiling_item_reliable	investment_delta	item_dependence	unreliable_best_item	ceiling_verdict_score	ceiling_win_rate	ceiling_chipped_win_rate	ceiling_outspeeds_rate	ceiling_mean_margin	cells	candidates_tested	beats_sample	loses_to_sample	confidence
SPECIES_LILLIPUP	Lillipup	3	3	FALSE	25	0.1	Crunch,Retaliate,Work Up,Take Down	1.0	physical	ABILITY_VITAL_SPIRIT	Adamant	ITEM_FAIRY_FEATHER	Take Down,Wild Charge,Play Rough,Retaliate	TRUE	0.9	0.0	NA	1.0	1.0	1.0	0.6	96.3	25	8	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_HERDIER	Herdier	3	3	FALSE	25	0.2333	Crunch,Retaliate,Work Up,Take Down	1.0	physical	ABILITY_INTIMIDATE	Adamant	ITEM_FAIRY_FEATHER	Take Down,Wild Charge,Play Rough,Strength	TRUE	0.7667	0.0	NA	1.0	1.0	1.0	0.6	97.1	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_PANSAGE	Pansage	3	3	FALSE	25	0.2667	Torment,Seed Bomb,Bite,Leech Seed	1.0	special	ABILITY_GLUTTONY	Modest	ITEM_FAIRY_FEATHER	Solar Beam,Flash,Disarming Voice,Energy Ball	TRUE	0.7333	0.0	NA	1.0	1.0	1.0	0.8	96.9	25	16	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_MUSHARNA	Musharna	3	3	FALSE	25	0.5833	Psychic Terrain,Defense Curl,Lucky Chant,Psybeam	1.0	special	ABILITY_SYNCHRONIZE	Modest	ITEM_FAIRY_FEATHER	Future Sight,Misty Explosion,Energy Ball,Psychic	TRUE	0.4167	0.0	NA	1.0	1.0	1.0	0.4	97.5	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_AUDINO_MEGA	Audino-Mega	3	3	FALSE	25	0.6167	Attract,Double Slap,Disarming Voice,Refresh	1.0	special	ABILITY_REGENERATOR	Modest	ITEM_FAIRY_FEATHER	Moonblast,Hyper Voice,Solar Beam,Dazzling Gleam	TRUE	0.3833	0.0	NA	1.0	1.0	1.0	0.6	97.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_THROH	Throh	3	3	FALSE	25	0.7833	Body Slam,Storm Throw,Revenge,Vital Throw	1.0	physical	ABILITY_GUTS	Adamant	ITEM_WEAKNESS_POLICY	Focus Punch,Earthquake,Stone Edge,Superpower	TRUE	0.2167	0.0	NA	1.0	1.0	1.0	0.6	97.7	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_WHIMSICOTT	Whimsicott	3	3	FALSE	25	0.4667	Gust,Growth,Leech Seed,Mega Drain	1.0	special	ABILITY_PRANKSTER	Modest	ITEM_FAIRY_FEATHER	Solar Beam,Moonblast,Hurricane,Energy Ball	TRUE	0.5333	0.0	NA	1.0	1.0	1.0	1.0	97.7	25	16	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_SCRAFTY	Scrafty	3	3	FALSE	25	0.3833	Brick Break,Payback,Low Kick,Swagger	1.0	physical	ABILITY_SHED_SKIN	Adamant	ITEM_WEAKNESS_POLICY	Focus Punch,Foul Play,Iron Tail,Close Combat	TRUE	0.6167	0.0	NA	1.0	1.0	1.0	0.6	97.7	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_GARBODOR_MEGA	Garbodor-Mega	3	3	FALSE	25	0.4833	Body Slam,Stockpile,Swallow,Sludge	1.0	physical	ABILITY_PARASITIC_WASTE	Adamant	ITEM_WEAKNESS_POLICY	Gunk Shot,Explosion,Superpower,Poison Jab	TRUE	0.5167	0.0	NA	1.0	1.0	1.0	0.8	98.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_ESCAVALIER	Escavalier	3	3	FALSE	25	0.3667	False Swipe,Headbutt,Bug Bite,Twineedle	1.0	physical	ABILITY_SWARM	Adamant	ITEM_WEAKNESS_POLICY	Megahorn,Iron Head,Double-Edge,X-Scissor	TRUE	0.6333	0.0	NA	1.0	1.0	1.0	0.4	97.1	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_JELLICENT	Jellicent	3	3	FALSE	25	0.7667	Water Pulse,Recover,Bubble Beam,Night Shade	1.0	special	ABILITY_WATER_ABSORB	Modest	ITEM_WEAKNESS_POLICY	Water Spout,Shadow Ball,Wring Out,Hydro Pump	TRUE	0.2333	0.0	NA	1.0	1.0	1.0	0.6	97.7	25	8	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_STUNFISK	Stunfisk	3	3	FALSE	25	0.5667	Discharge,Mud Bomb,Camouflage,Mud Shot	1.0	special	ABILITY_STATIC	Timid	ITEM_WEAKNESS_POLICY	Thunder,Earth Power,Sludge Wave,Thunderbolt	TRUE	0.4333	0.0	NA	1.0	1.0	1.0	0.6	97.5	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_KINGAMBIT	Kingambit	3	3	FALSE	25	0.2833	Assurance,Scary Face,Feint Attack,Torment	1.0	physical	ABILITY_DEFIANT	Jolly	ITEM_WEAKNESS_POLICY	Foul Play,Iron Head,Stone Edge,Kowtow Cleave	TRUE	0.7167	0.0	NA	1.0	1.0	1.0	0.6	97.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_BOUFFALANT	Bouffalant	3	3	FALSE	25	0.25	Scary Face,Horn Attack,Fury Attack,Rage	1.0	physical	ABILITY_RECKLESS	Adamant	ITEM_WEAKNESS_POLICY	Skull Bash,Head Smash,Close Combat,Rock Climb	TRUE	0.75	0.0	NA	1.0	1.0	1.0	0.8	97.7	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_MANDIBUZZ	Mandibuzz	3	3	FALSE	25	0.35	Feint Attack,Flatter,Nasty Plot,Pluck	1.0	support	ABILITY_FRISK	Careful	ITEM_BERRY_JUICE	Brave Bird,Whirlwind,Defog,Roost	TRUE	0.65	0.0	NA	1.0	1.0	1.0	0.6	54.2	25	8	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_AEGISLASH_SHIELD	Aegislash-Shield	3	3	FALSE	25	0.1167	Fury Cutter,Pursuit,Autotomize,Shadow Sneak	1.0	physical	ABILITY_STANCE_CHANGE	Adamant	ITEM_WEAKNESS_POLICY	Iron Head,Shadow Claw,Head Smash,Cut	TRUE	0.8833	0.0	NA	1.0	1.0	1.0	0.6	96.3	25	16	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_CARBINK	Carbink	3	3	FALSE	25	0.2667	Stealth Rock,Reflect,Smack Down,Sharpen	1.0	special	ABILITY_CLEAR_BODY	Modest	ITEM_FAIRY_FEATHER	Meteor Beam,Misty Explosion,Psychic,Moonblast	TRUE	0.7333	0.0	NA	1.0	1.0	1.0	0.6	97.9	25	16	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_GOODRA	Goodra	3	3	FALSE	25	0.4333	Rain Dance,Dragon Breath,Bide,Protect	1.0	special	ABILITY_SAP_SIPPER	Timid	ITEM_WEAKNESS_POLICY	Draco Meteor,Focus Blast,Blizzard,Draco Barrage	TRUE	0.5667	0.0	NA	1.0	1.0	1.0	1.0	97.9	25	12	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_GOODRA_HISUI	Goodra-Hisui	3	3	FALSE	25	0.35	Rain Dance,Dragon Breath,Bide,Protect	1.0	physical	ABILITY_SAP_SIPPER	Adamant	ITEM_WEAKNESS_POLICY	Outrage,Iron Tail,Focus Punch,Iron Head	TRUE	0.65	0.0	NA	1.0	1.0	1.0	0.6	97.9	25	12	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_KLEFKI	Klefki	3	3	FALSE	25	0.4	Crafty Shield,Draining Kiss,Spikes,Metal Sound	1.0	mixed	ABILITY_PRANKSTER	Rash	ITEM_FAIRY_FEATHER	Steel Beam,Play Rough,Dazzling Gleam,Cut	TRUE	0.6	0.0	NA	1.0	1.0	1.0	0.6	97.9	25	12	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_DIANCIE	Diancie	3	3	FALSE	25	0.3667	Guard Split,Stealth Rock,Reflect,Smack Down	1.0	special	ABILITY_CLEAR_BODY	Timid	ITEM_FAIRY_FEATHER	Meteor Beam,Misty Explosion,Psychic,Moonblast	TRUE	0.6333	0.0	NA	1.0	1.0	1.0	0.6	98.1	25	12	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_DIANCIE_MEGA	Diancie-Mega	3	3	FALSE	25	0.5333	Guard Split,Stealth Rock,Reflect,Smack Down	1.0	mixed	ABILITY_MAGIC_BOUNCE	Naive	ITEM_FAIRY_FEATHER	Meteor Beam,Stone Edge,Misty Explosion,Play Rough	TRUE	0.4667	0.0	NA	1.0	1.0	1.0	1.0	98.3	25	12	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_TOXAPEX	Toxapex	3	3	FALSE	25	0.1667	Venoshock,Toxic,Wide Guard,Toxic Spikes	1.0	physical	ABILITY_MERCILESS	Adamant	ITEM_WEAKNESS_POLICY	Gunk Shot,Liquidation,Ice Spinner,Poison Jab	TRUE	0.8333	0.0	NA	1.0	1.0	1.0	0.4	96.9	25	8	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_ARAQUANID	Araquanid	3	3	FALSE	25	0.1333	Bite,Bubble Beam,Bug Bite,Spider Web	1.0	physical	ABILITY_WATER_BUBBLE	Adamant	ITEM_WEAKNESS_POLICY	Liquidation,Leech Life,Poison Jab,X-Scissor	TRUE	0.8667	0.0	NA	1.0	1.0	1.0	0.6	96.7	25	8	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_ARAQUANID_TOTEM	Araquanid-Totem	3	3	FALSE	25	0.1333	Bite,Bubble Beam,Bug Bite,Spider Web	1.0	physical	ABILITY_WATER_BUBBLE	Adamant	ITEM_WEAKNESS_POLICY	Liquidation,Leech Life,Poison Jab,X-Scissor	TRUE	0.8667	0.0	NA	1.0	1.0	1.0	0.6	96.7	25	8	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_BOUNSWEET	Bounsweet	3	3	FALSE	25	0.1	Teeter Dance,Magical Leaf,Sweet Scent,Razor Leaf	1.0	mixed	ABILITY_LEAF_GUARD	Naive	ITEM_FAIRY_FEATHER	Solar Beam,Seed Bomb,Play Rough,Zen Headbutt	TRUE	0.9	0.0	NA	1.0	1.0	1.0	0.0	95.1	25	16	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_STEENEE	Steenee	3	3	FALSE	25	0.2167	Teeter Dance,Magical Leaf,Sweet Scent,Razor Leaf	1.0	mixed	ABILITY_LEAF_GUARD	Naive	ITEM_FAIRY_FEATHER	Solar Beam,Seed Bomb,Play Rough,Bounce	TRUE	0.7833	0.0	NA	1.0	1.0	1.0	0.6	96.7	25	16	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_GOLISOPOD	Golisopod	3	3	FALSE	25	0.1833	Slash,Swords Dance,Spite,Bug Bite	1.0	physical	ABILITY_EMERGENCY_EXIT	Adamant	ITEM_WEAKNESS_POLICY	First Impression,Liquidation,Close Combat,Leech Life	TRUE	0.8167	0.0	NA	1.0	1.0	1.0	0.6	97.5	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_TURTONATOR	Turtonator	3	3	FALSE	25	0.4667	Iron Defense,Endure,Flail,Incinerate	1.0	special	ABILITY_SHELL_ARMOR	Timid	ITEM_WEAKNESS_POLICY	Overheat,Draco Meteor,Focus Blast,Fire Blast	TRUE	0.5333	0.0	NA	1.0	1.0	1.0	0.6	97.7	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_SOLGALEO	Solgaleo	3	3	FALSE	25	0.8667	Flash Cannon,Zen Headbutt,Metal Sound,Iron Head	1.0	physical	ABILITY_FULL_METAL_BODY	Adamant	ITEM_WEAKNESS_POLICY	Iron Tail,Psychic Fangs,Close Combat,Iron Head	TRUE	0.1333	0.0	NA	1.0	1.0	1.0	1.0	98.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_LUNALA	Lunala	3	3	FALSE	25	0.7333	Magic Coat,Air Slash,Confuse Ray,Night Shade	1.0	special	ABILITY_SHADOW_SHIELD	Modest	ITEM_WEAKNESS_POLICY	Future Sight,Shadow Ball,Focus Blast,Dream Eater	TRUE	0.2667	0.0	NA	1.0	1.0	1.0	1.0	98.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_NIHILEGO	Nihilego	3	3	FALSE	25	0.4667	Venoshock,Headbutt,Psywave,Clear Smog	1.0	special	ABILITY_BEAST_BOOST	Modest	ITEM_WEAKNESS_POLICY	Meteor Beam,Sludge Wave,Thunder,Sludge Bomb	TRUE	0.5333	0.0	NA	1.0	1.0	1.0	1.0	97.9	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_BUZZWOLE	Buzzwole	3	3	FALSE	25	0.7833	Endure,Vital Throw,Bulk Up,Comet Punch	1.0	physical	ABILITY_BEAST_BOOST	Jolly	ITEM_WEAKNESS_POLICY	Focus Punch,Leech Life,Earthquake,Close Combat	TRUE	0.2167	0.0	NA	1.0	1.0	1.0	1.0	98.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_XURKITREE	Xurkitree	3	3	FALSE	25	0.5333	Thunder Punch,Ingrain,Shock Wave,Thunder Wave	1.0	special	ABILITY_BEAST_BOOST	Modest	ITEM_FAIRY_FEATHER	Thunder,Solar Beam,Dazzling Gleam,Thunderbolt	TRUE	0.4667	0.0	NA	1.0	1.0	1.0	1.0	98.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_CELESTEELA	Celesteela	3	3	FALSE	25	0.4667	Metal Sound,Leech Seed,Mega Drain,Smack Down	1.0	special	ABILITY_BEAST_BOOST	Modest	ITEM_WEAKNESS_POLICY	Steel Beam,Air Slash,Solar Beam,Flash Cannon	TRUE	0.5333	0.0	NA	1.0	1.0	1.0	0.8	97.9	25	12	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_NECROZMA	Necrozma	3	3	FALSE	25	0.5167	Night Slash,Rock Blast,Stored Power,Slash	1.0	special	ABILITY_PRISM_ARMOR	Timid	ITEM_WEAKNESS_POLICY	Future Sight,Draco Meteor,Solar Beam,Psychic	TRUE	0.4833	0.0	NA	1.0	1.0	1.0	1.0	97.9	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_MAGEARNA	Magearna	3	3	FALSE	25	0.6167	Mirror Shot,Aurora Beam,Lucky Chant,Crafty Shield	1.0	special	ABILITY_SOUL_HEART	Modest	ITEM_WEAKNESS_POLICY	Steel Beam,Misty Explosion,Focus Blast,Flash Cannon	TRUE	0.3833	0.0	NA	1.0	1.0	1.0	0.8	98.1	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_ORBEETLE	Orbeetle	3	3	FALSE	25	0.6	Skill Swap,Hypnosis,Psybeam,Agility	1.0	special	ABILITY_SWARM	Modest	ITEM_WEAKNESS_POLICY	Future Sight,Bug Buzz,Solar Beam,Psychic	TRUE	0.4	0.0	NA	1.0	1.0	1.0	0.8	97.7	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_ORBEETLE_MEGA	Orbeetle-Mega	3	3	FALSE	25	0.6667	Skill Swap,Hypnosis,Psybeam,Agility	1.0	special	ABILITY_MAGIC_GUARD	Modest	ITEM_WEAKNESS_POLICY	Future Sight,Bug Buzz,Solar Beam,Psychic	TRUE	0.3333	0.0	NA	1.0	1.0	1.0	1.0	97.9	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_DREDNAW_MEGA	Drednaw-Mega	3	3	FALSE	25	0.4833	Headbutt,Protect,Rock Throw,Rock Tomb	1.0	physical	ABILITY_STRONG_JAW	Jolly	ITEM_WEAKNESS_POLICY	Superpower,Liquidation,Megahorn,Body Press	TRUE	0.5167	0.0	NA	1.0	1.0	1.0	1.0	98.1	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_YAMPER	Yamper	3	3	FALSE	25	0.0	Charm,Spark,Roar,Bite	1.0	physical	ABILITY_PICKUP	Adamant	ITEM_FAIRY_FEATHER	Wild Charge,Double-Edge,Play Rough,Spark	TRUE	1.0	0.0	NA	1.0	1.0	1.0	0.4	96.5	25	16	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_BOLTUND	Boltund	3	3	FALSE	25	0.5583	Spark,Roar,Bite,Nuzzle	1.0	physical	ABILITY_STRONG_JAW	Adamant	ITEM_FAIRY_FEATHER	Wild Charge,Play Rough,Psychic Fangs,Thunder Fang	TRUE	0.4417	0.0	NA	1.0	1.0	1.0	1.0	97.5	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_COALOSSAL	Coalossal	3	3	FALSE	25	0.2833	Ancient Power,Rock Polish,Scorching Sands,Rock Blast	1.0	special	ABILITY_STEAM_ENGINE	Modest	ITEM_WEAKNESS_POLICY	Overheat,Meteor Beam,Steel Beam,Fire Blast	TRUE	0.7167	0.0	NA	1.0	1.0	1.0	0.4	97.5	25	12	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_COALOSSAL_MEGA	Coalossal-Mega	3	3	FALSE	25	0.5	Ancient Power,Rock Polish,Scorching Sands,Rock Blast	1.0	special	ABILITY_MOUNTAINEER	Modest	ITEM_WEAKNESS_POLICY	Steel Beam,Overheat,Solar Beam,Fire Blast	TRUE	0.5	0.0	NA	1.0	1.0	1.0	0.6	97.9	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_APPLETUN_MEGA	Appletun-Mega	3	3	FALSE	25	0.8	Recover,Bullet Seed,Protect,Leech Seed	1.0	special	ABILITY_CONTRARY	Modest	ITEM_WEAKNESS_POLICY	Draco Meteor,Solar Beam,Draco Barrage,Energy Ball	TRUE	0.2	0.0	NA	1.0	1.0	1.0	0.6	97.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_HYDRAPPLE	Hydrapple	3	3	FALSE	25	0.5	Bullet Seed,Protect,Dragon Breath,Growth	1.0	special	ABILITY_STICKY_HOLD	Modest	ITEM_WEAKNESS_POLICY	Draco Meteor,Solar Beam,Hydro Pump,Draco Barrage	TRUE	0.5	0.0	NA	1.0	1.0	1.0	0.6	97.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_CENTISKORCH_MEGA	Centiskorch-Mega	3	3	FALSE	25	0.5667	Coil,Pounce,Flame Wheel,Bite	1.0	physical	ABILITY_MOUNTAINEER	Jolly	ITEM_WEAKNESS_POLICY	Flare Blitz,X-Scissor,Power Whip,Leech Life	TRUE	0.4333	0.0	NA	1.0	1.0	1.0	1.0	98.1	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_GRIMMSNARL_MEGA	Grimmsnarl-Mega	3	3	FALSE	25	0.2667	Sucker Punch,Swagger,Assurance,Fake Tears	1.0	special	ABILITY_SHEER_FORCE	Modest	ITEM_WEAKNESS_POLICY	Dark Hole,Moonblast,Focus Blast,Dark Pulse	TRUE	0.7333	0.0	NA	1.0	1.0	1.0	0.6	98.1	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_MILCERY	Milcery	3	3	FALSE	25	0.15	Attract,Aromatherapy,Draining Kiss,Sweet Scent	1.0	special	ABILITY_SWEET_VEIL	Modest	ITEM_FAIRY_FEATHER	Dazzling Gleam,Stored Power,Aromatherapy,Draining Kiss	TRUE	0.85	0.0	NA	1.0	1.0	1.0	0.4	96.1	25	8	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_DRACOVISH	Dracovish	3	3	FALSE	25	0.1833	Ancient Power,Brutal Swing,Protect,Tackle	1.0	physical	ABILITY_WATER_ABSORB	Adamant	ITEM_CHOICE_BAND	Liquidation,Dragon Tail,Earthquake,Waterfall	FALSE	0.8167	0.0	NA	1.0	1.0	1.0	0.8	4.0	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_ARCHALUDON	Archaludon	3	3	FALSE	25	0.6	Breaking Swipe,Metal Sound,Hone Claws,Rock Smash	1.0	special	ABILITY_STAMINA	Modest	ITEM_WEAKNESS_POLICY	Steel Beam,Draco Meteor,Meteor Beam,Draco Barrage	TRUE	0.4	0.0	NA	1.0	1.0	1.0	0.8	97.9	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
SPECIES_GLASTRIER	Glastrier	3	3	FALSE	25	0.5667	Torment,Stomp,Avalanche,Double Kick	1.0	physical	ABILITY_CHILLING_NEIGH	Adamant	ITEM_WEAKNESS_POLICY	Avalanche,Close Combat,Megahorn,Superpower	TRUE	0.4333	0.0	NA	1.0	1.0	1.0	0.4	97.3	25	4	Gurdurr@Leader Brawly,Gurdurr@Leader Brawly2,Gurdurr@Leader Brawly3,Gurdurr@Leader Brawly4,Gurdurr@Leader Brawly5	NONE	Derived
