species_const	species_name	checkpoint	primary_role	hybrid_role	top3	ceiling_fit	floor_fit	replacement_fit	vorp	tier	investment_delta	S	T	Y	F	track	ability	nature	item	item_reliable	moves	bst	earliest_cp	availability_confidence	entry_reason	matrix_score	confidence	item_dependence	unreliable_best_item	cant_miss
SPECIES_YANMA	Yanma	2	weather_terrain_setter	NA	weather_terrain_setter:0.5109;special_wall:0.4525;revenge_killer:0.4057	0.5109	0.5432	0.4774	0.0335	C	-0.0323	0.334	0.55	0.6	0.5	support	ABILITY_SPEED_BOOST	Calm	ITEM_BERRY_JUICE	TRUE	Gust,Defog,Roost,Sunny Day	390	7	Asserted	wild	0.0333	Derived	0.1611	ITEM_LIFE_ORB	FALSE
SPECIES_AZUMARILL	Azumarill	2	weather_terrain_setter	NA	weather_terrain_setter:0.4889	0.4889	0.0	0.4774	0.0115	C	0.4889	0.789	0.3	0.8	0.5	support	ABILITY_THICK_FAT	Calm	ITEM_BERRY_JUICE	TRUE	Water Gun,Snowscape,Rain Dance,Ice Punch	420	3	Asserted	wild	0.05	Derived	0.1321	ITEM_CHOICE_SPECS	FALSE
SPECIES_ZUBAT	Zubat	2	weather_terrain_setter	NA	weather_terrain_setter:0.4865;special_wall:0.317;hazard_remover:0.2615	0.4865	0.0	0.4774	0.0091	C	0.4865	0.09	0.55	0.6	0.5	support	ABILITY_INFILTRATOR	Calm	ITEM_BERRY_JUICE	TRUE	Wing Attack,Defog,Roost,Sunny Day	245	3	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_NOIBAT	Noibat	2	weather_terrain_setter	NA	weather_terrain_setter:0.4865;special_wall:0.352	0.4865	0.4191	0.4774	0.0091	C	0.0674	0.09	0.55	0.6	0.5	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Dragon Breath,Roost,Sunny Day,Bite	245	9	Asserted	wild	0.0167	Derived	0.0	NA	FALSE
SPECIES_ARAQUANID	Araquanid	2	weather_terrain_setter	NA	weather_terrain_setter:0.486	0.486	0.486	0.4774	0.0086	C	0.0	0.76	0.3	0.8	0.5	support	ABILITY_WATER_BUBBLE	Bold	ITEM_BERRY_JUICE	TRUE	Bubble,Rain Dance,Infestation,Bug Bite	454	3	Derived	evolution:EVO_LEVEL@22:from SPECIES_DEWPIDER	0.0167	Derived	0.0	NA	TRUE
SPECIES_ARAQUANID_TOTEM	Araquanid-Totem	2	weather_terrain_setter	NA	weather_terrain_setter:0.486	0.486	0.486	0.4774	0.0086	C	0.0	0.76	0.3	0.8	0.5	support	ABILITY_WATER_BUBBLE	Bold	ITEM_BERRY_JUICE	TRUE	Bubble,Rain Dance,Infestation,Bug Bite	454	1	Inferred	evolution:EVO_NONE:0:from SPECIES_DEWPIDER	0.0167	Derived	0.0	NA	TRUE
SPECIES_SANDYGAST	Sandygast	2	weather_terrain_setter	NA	weather_terrain_setter:0.4589;hazard_setter:0.3914	0.4589	0.6814	0.4774	-0.0185	D	-0.2225	0.489	0.3	0.8	0.5	support	ABILITY_WATER_COMPACTION	Calm	ITEM_BERRY_JUICE	TRUE	Ominous Wind,Stealth Rock,Sandstorm,Absorb	320	2	Asserted	wild	0.1333	Derived	0.0	NA	FALSE
SPECIES_MARILL	Marill	2	weather_terrain_setter	NA	weather_terrain_setter:0.4507;priority_abuser:0.3704;revenge_killer:0.3342	0.4507	0.0	0.4774	-0.0267	D	0.4507	0.407	0.3	0.8	0.5	support	ABILITY_THICK_FAT	Calm	ITEM_BERRY_JUICE	TRUE	Aqua Jet,Snowscape,Rain Dance,Tackle	250	3	Asserted	wild	0.0	Derived	0.0419	ITEM_CHOICE_BAND	FALSE
SPECIES_STARAVIA	Staravia	2	weather_terrain_setter	special_wall	weather_terrain_setter:0.4462;special_wall:0.4339;hazard_remover:0.2212	0.4462	0.5189	0.4774	-0.0312	D	-0.0727	0.287	0.55	0.0	0.5	support	ABILITY_INTIMIDATE	Calm	ITEM_BERRY_JUICE	TRUE	Tackle,Defog,Roost,Sunny Day	340	1	Derived	evolution:EVO_LEVEL@14:from SPECIES_STARLY	0.0167	Derived	0.2148	ITEM_LIFE_ORB	TRUE
SPECIES_MANTYKE	Mantyke	2	weather_terrain_setter	NA	weather_terrain_setter:0.446	0.446	0.0	0.4774	-0.0314	D	0.446	0.56	0.3	0.6	0.5	support	ABILITY_SWIFT_SWIM	Calm	ITEM_BERRY_JUICE	TRUE	Bubble,Rain Dance,Tackle,Bubble Beam	345	1	Asserted	wild	0.0333	Derived	0.0	NA	FALSE
SPECIES_SWADLOON	Swadloon	2	weather_terrain_setter	NA	weather_terrain_setter:0.4443	0.4443	0.0	0.4774	-0.0331	D	0.4443	0.543	0.3	0.6	0.5	support	ABILITY_LEAF_GUARD	Calm	ITEM_BERRY_JUICE	TRUE	Bug Bite,Sunny Day,Tackle,Razor Leaf	380	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_SEWADDLE	0.1	Derived	0.0	NA	FALSE
SPECIES_NIDORINA	Nidorina	2	weather_terrain_setter	NA	weather_terrain_setter:0.4436	0.4436	0.0	0.4774	-0.0338	D	0.4436	0.536	0.3	0.6	0.5	support	ABILITY_POISON_TOUCH	Calm	ITEM_BERRY_JUICE	TRUE	Scratch,Sunny Day,Rain Dance,Double Kick	365	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_NIDORAN_F	0.1167	Derived	0.2097	ITEM_LIFE_ORB	FALSE
SPECIES_MAREANIE	Mareanie	2	weather_terrain_setter	NA	weather_terrain_setter:0.4432	0.4432	0.3757	0.4774	-0.0342	D	0.0675	0.332	0.3	0.8	0.5	support	ABILITY_MERCILESS	Calm	ITEM_BERRY_JUICE	TRUE	Poison Sting,Snowscape,Rain Dance,Peck	305	3	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_GOLETT	Golett	2	weather_terrain_setter	NA	weather_terrain_setter:0.4416	0.4416	0.0	0.4774	-0.0358	D	0.4416	0.316	0.3	0.8	0.5	support	ABILITY_IRON_FIST	Calm	ITEM_BERRY_JUICE	TRUE	Astonish,Rain Dance,Pound,Mud-Slap	303	6	Asserted	wild	0.1	Derived	0.0	NA	FALSE
SPECIES_PIDOVE	Pidove	2	weather_terrain_setter	NA	weather_terrain_setter:0.4413;special_wall:0.2984;hazard_remover:0.2163	0.4413	0.4279	0.4774	-0.0361	D	0.0134	0.238	0.55	0.0	0.5	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Gust,Roost,Defog,Sunny Day	264	15	Asserted	wild	0.0	Derived	0.1612	ITEM_CHOICE_BAND	FALSE
SPECIES_SKRELP	Skrelp	2	weather_terrain_setter	NA	weather_terrain_setter:0.4412;hazard_setter:0.3737	0.4412	0.0	0.4774	-0.0362	D	0.4412	0.312	0.3	0.8	0.5	support	ABILITY_POISON_TOUCH	Calm	ITEM_BERRY_JUICE	TRUE	Water Gun,Rain Dance,Toxic Spikes,Tackle	320	3	Asserted	wild	0.0167	Derived	0.225	ITEM_LIFE_ORB	FALSE
SPECIES_FLETCHLING	Fletchling	2	weather_terrain_setter	revenge_killer	weather_terrain_setter:0.4342;revenge_killer:0.3957;priority_abuser:0.3842	0.4342	0.4033	0.4774	-0.0432	D	0.0309	0.167	0.55	0.0	0.5	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Tackle,Roost,Sunny Day,Quick Attack	278	1	Measured	starter:game_start	0.0	Derived	0.1145	ITEM_LIFE_ORB	FALSE
SPECIES_GULPIN	Gulpin	2	weather_terrain_setter	NA	weather_terrain_setter:0.434	0.434	0.0	0.4774	-0.0434	D	0.434	0.44	0.3	0.6	0.5	support	ABILITY_LIQUID_OOZE	Calm	ITEM_BERRY_JUICE	TRUE	Sludge,Sunny Day,Rain Dance,Pound	302	11	Asserted	wild	0.05	Derived	0.0	NA	FALSE
SPECIES_SKORUPI	Skorupi	2	weather_terrain_setter	NA	weather_terrain_setter:0.4324;phazer:0.2749	0.4324	0.0	0.4774	-0.045	D	0.4324	0.424	0.3	0.6	0.5	support	ABILITY_BATTLE_ARMOR	Calm	ITEM_BERRY_JUICE	TRUE	Bite,Sunny Day,Rain Dance,Whirlwind	330	1	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_NIDORINO	Nidorino	2	weather_terrain_setter	NA	weather_terrain_setter:0.4316	0.4316	0.0	0.4774	-0.0458	D	0.4316	0.416	0.3	0.6	0.5	support	ABILITY_POISON_TOUCH	Calm	ITEM_BERRY_JUICE	TRUE	Peck,Sunny Day,Rain Dance,Double Kick	365	2	Derived	evolution:EVO_LEVEL@16:from SPECIES_NIDORAN_M	0.1167	Derived	0.1325	ITEM_LIFE_ORB	FALSE
SPECIES_NINCADA	Nincada	2	weather_terrain_setter	NA	weather_terrain_setter:0.4303	0.4303	0.0	0.4774	-0.0471	D	0.4303	0.403	0.3	0.6	0.5	support	ABILITY_COMPOUND_EYES	Calm	ITEM_BERRY_JUICE	TRUE	Mud-Slap,Sandstorm,Scratch,Absorb	266	1	Asserted	wild	0.0333	Derived	0.0	ITEM_LIFE_ORB	FALSE
SPECIES_SEWADDLE	Sewaddle	2	weather_terrain_setter	NA	weather_terrain_setter:0.4245	0.4245	0.0	0.4774	-0.0529	D	0.4245	0.345	0.3	0.6	0.5	support	ABILITY_SWARM	Calm	ITEM_BERRY_JUICE	TRUE	Bug Bite,Sunny Day,Grassy Terrain,Tackle	310	1	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_TRUBBISH	Trubbish	2	weather_terrain_setter	NA	weather_terrain_setter:0.4241;hazard_setter:0.3566	0.4241	0.3566	0.4774	-0.0533	D	0.0675	0.341	0.3	0.6	0.5	support	ABILITY_STENCH	Calm	ITEM_BERRY_JUICE	TRUE	Acid Spray,Toxic Spikes,Sunny Day,Rain Dance	329	6	Asserted	wild	0.0	Derived	0.1229	ITEM_LIFE_ORB	FALSE
SPECIES_SPEAROW	Spearow	2	weather_terrain_setter	NA	weather_terrain_setter:0.424;hazard_remover:0.199;special_wall:0.1838	0.424	0.0	0.4774	-0.0534	D	0.424	0.065	0.55	0.0	0.5	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Peck,Defog,Roost,Sunny Day	262	6	Asserted	wild	0.0	Derived	0.1641	ITEM_CHOICE_BAND	FALSE
SPECIES_ARON	Aron	2	weather_terrain_setter	NA	weather_terrain_setter:0.4233;hazard_setter:0.3558;phazer:0.2658	0.4233	0.2658	0.4774	-0.0541	D	0.1575	0.533	0.3	0.4	0.5	support	ABILITY_STURDY	Calm	ITEM_BERRY_JUICE	TRUE	Metal Claw,Roar,Stealth Rock,Sunny Day	330	2	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_TAILLOW	Taillow	2	weather_terrain_setter	NA	weather_terrain_setter:0.4227;hazard_remover:0.1977;special_wall:0.1814	0.4227	0.5	0.4774	-0.0547	D	-0.0773	0.052	0.55	0.0	0.5	support	ABILITY_GUTS	Calm	ITEM_BERRY_JUICE	TRUE	Peck,Defog,Roost,Sunny Day	270	6	Asserted	wild	0.0	Derived	0.2219	ITEM_CHOICE_BAND	FALSE
SPECIES_STARLY	Starly	2	weather_terrain_setter	NA	weather_terrain_setter:0.4227;hazard_remover:0.1977;special_wall:0.1814	0.4227	0.4279	0.4774	-0.0547	D	-0.0052	0.052	0.55	0.0	0.5	support	ABILITY_FRISK	Calm	ITEM_BERRY_JUICE	TRUE	Tackle,Defog,Roost,Sunny Day	245	1	Asserted	wild	0.0	Derived	0.1357	ITEM_CHOICE_BAND	FALSE
SPECIES_NIDORAN_F	Nidoran-F	2	weather_terrain_setter	NA	weather_terrain_setter:0.4217	0.4217	0.0	0.4774	-0.0557	D	0.4217	0.317	0.3	0.6	0.5	support	ABILITY_POISON_TOUCH	Calm	ITEM_BERRY_JUICE	TRUE	Scratch,Sunny Day,Rain Dance,Double Kick	275	1	Asserted	wild	0.0167	Derived	0.1325	ITEM_LIFE_ORB	FALSE
SPECIES_BUDEW	Budew	2	weather_terrain_setter	NA	weather_terrain_setter:0.4211;hazard_setter:0.3536	0.4211	0.6436	0.4774	-0.0563	D	-0.2225	0.311	0.3	0.6	0.5	support	ABILITY_NATURAL_CURE	Calm	ITEM_BERRY_JUICE	TRUE	Absorb,Sunny Day,Rain Dance,Spikes	280	1	Measured	starter:game_start	0.0	Derived	0.0	NA	FALSE
SPECIES_FIDOUGH	Fidough	2	weather_terrain_setter	NA	weather_terrain_setter:0.4195;phazer:0.262	0.4195	0.0	0.4774	-0.0579	D	0.4195	0.295	0.3	0.6	0.5	support	ABILITY_OWN_TEMPO	Calm	ITEM_BERRY_JUICE	TRUE	Covet,Roar,Sunny Day,Rain Dance	312	15	Asserted	wild	0.2	Derived	0.0	NA	FALSE
SPECIES_WIMPOD	Wimpod	2	weather_terrain_setter	NA	weather_terrain_setter:0.4156;hazard_setter:0.3481	0.4156	0.0	0.4774	-0.0618	D	0.4156	0.056	0.3	0.8	0.5	support	ABILITY_WIMP_OUT	Calm	ITEM_BERRY_JUICE	TRUE	Struggle Bug,Rain Dance,Spikes,Leech Life	230	4	Asserted	wild	0.0	Derived	0.2344	ITEM_CHOICE_BAND	FALSE
SPECIES_WOOPER_PALDEA	Wooper-Paldea	2	weather_terrain_setter	NA	weather_terrain_setter:0.4153;hazard_setter:0.3478	0.4153	0.3478	0.4774	-0.0621	D	0.0675	0.253	0.3	0.6	0.5	support	ABILITY_POISON_TOUCH	Calm	ITEM_BERRY_JUICE	TRUE	Mud Shot,Toxic Spikes,Stealth Rock,Sandstorm	210	4	Asserted	wild	0.05	Derived	0.0	NA	FALSE
SPECIES_COTTONEE	Cottonee	2	weather_terrain_setter	NA	weather_terrain_setter:0.4134;hazard_remover:0.1884	0.4134	0.6359	0.4774	-0.064	D	-0.2225	0.234	0.3	0.6	0.5	support	ABILITY_PRANKSTER	Calm	ITEM_BERRY_JUICE	TRUE	Absorb,Leech Seed,Defog,Sunny Day	280	1	Measured	starter:game_start	0.0	Derived	0.0	NA	FALSE
SPECIES_NACLSTACK	Naclstack	2	weather_terrain_setter	NA	weather_terrain_setter:0.4115;hazard_setter:0.344	0.4115	0.0	0.4774	-0.0659	D	0.4115	0.615	0.3	0.2	0.5	support	ABILITY_PURIFYING_SALT	Calm	ITEM_BERRY_JUICE	TRUE	Salt Cure,Stealth Rock,Sunny Day,Sandstorm	355	3	Derived	evolution:EVO_LEVEL@23:from SPECIES_NACLI	0.0	Derived	0.0	NA	FALSE
SPECIES_ONIX	Onix	2	weather_terrain_setter	NA	weather_terrain_setter:0.4101;hazard_setter:0.3426;phazer:0.2526	0.4101	0.3426	0.4774	-0.0673	D	0.0675	0.601	0.3	0.2	0.5	support	ABILITY_ROCK_HEAD	Calm	ITEM_BERRY_JUICE	TRUE	Rock Throw,Stealth Rock,Roar,Sunny Day	400	6	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_EKANS	Ekans	2	weather_terrain_setter	NA	weather_terrain_setter:0.4084	0.4084	0.6309	0.4774	-0.069	D	-0.2225	0.184	0.3	0.6	0.5	support	ABILITY_INTIMIDATE	Calm	ITEM_BERRY_JUICE	TRUE	Poison Sting,Rain Dance,Wrap,Bite	288	1	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_CROAGUNK	Croagunk	2	weather_terrain_setter	NA	weather_terrain_setter:0.4057	0.4057	0.0	0.4774	-0.0717	D	0.4057	0.157	0.3	0.6	0.5	support	ABILITY_DRY_SKIN	Calm	ITEM_BERRY_JUICE	TRUE	Sludge,Rain Dance,Astonish,Mud-Slap	300	1	Asserted	wild	0.05	Derived	0.045	ITEM_LIFE_ORB	FALSE
SPECIES_NIDORAN_M	Nidoran-M	2	weather_terrain_setter	NA	weather_terrain_setter:0.4055	0.4055	0.0	0.4774	-0.0719	D	0.4055	0.155	0.3	0.6	0.5	support	ABILITY_POISON_TOUCH	Calm	ITEM_BERRY_JUICE	TRUE	Peck,Sunny Day,Rain Dance,Double Kick	273	1	Asserted	wild	0.05	Derived	0.1325	ITEM_LIFE_ORB	FALSE
SPECIES_BINACLE	Binacle	2	weather_terrain_setter	NA	weather_terrain_setter:0.403	0.403	0.0	0.4774	-0.0744	D	0.403	0.33	0.3	0.4	0.5	support	ABILITY_TOUGH_CLAWS	Calm	ITEM_BERRY_JUICE	TRUE	Water Pulse,Sandstorm,Rain Dance,Scratch	306	1	Asserted	wild	0.0167	Derived	0.1326	ITEM_CHOICE_BAND	FALSE
SPECIES_LICKITUNG	Lickitung	2	weather_terrain_setter	NA	weather_terrain_setter:0.4021	0.4021	0.0	0.4774	-0.0753	D	0.4021	0.721	0.3	0.0	0.5	support	ABILITY_OWN_TEMPO	Calm	ITEM_BERRY_JUICE	TRUE	Lick,Sunny Day,Sandstorm,Rain Dance	385	3	Asserted	wild	0.0	Derived	0.1806	ITEM_CHOICE_SPECS	FALSE
SPECIES_TAROUNTULA	Tarountula	2	weather_terrain_setter	NA	weather_terrain_setter:0.4014;hazard_setter:0.3339	0.4014	0.4014	0.4774	-0.076	D	0.0	0.114	0.3	0.6	0.5	support	ABILITY_INSOMNIA	Calm	ITEM_BERRY_JUICE	TRUE	Struggle Bug,Sunny Day,Rain Dance,Spikes	210	1	Asserted	wild	0.0	Derived	0.0378	ITEM_CHOICE_BAND	FALSE
SPECIES_VAROOM	Varoom	2	weather_terrain_setter	NA	weather_terrain_setter:0.4006;hazard_setter:0.3331	0.4006	0.0	0.4774	-0.0768	D	0.4006	0.306	0.3	0.4	0.5	support	ABILITY_OVERCOAT	Calm	ITEM_BERRY_JUICE	TRUE	Smog,Stealth Rock,Sunny Day,Sandstorm	300	7	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_KLINK	Klink	2	weather_terrain_setter	NA	weather_terrain_setter:0.4004	0.4004	0.0	0.4774	-0.077	D	0.4004	0.304	0.3	0.4	0.5	support	ABILITY_PLUS	Calm	ITEM_BERRY_JUICE	TRUE	Gear Grind,Sandstorm,Vise Grip,Thunder Shock	300	1	Measured	starter:game_start	0.1333	Derived	0.0	NA	FALSE
SPECIES_SPINARAK	Spinarak	2	weather_terrain_setter	NA	weather_terrain_setter:0.3991;hazard_setter:0.3316	0.3991	0.5395	0.4774	-0.0783	D	-0.1404	0.091	0.3	0.6	0.5	support	ABILITY_SWARM	Calm	ITEM_BERRY_JUICE	TRUE	Poison Sting,Sunny Day,Toxic Spikes,Rage Powder	250	11	Asserted	wild	0.0	Derived	0.1867	ITEM_CHOICE_BAND	FALSE
SPECIES_DWEBBLE	Dwebble	2	weather_terrain_setter	NA	weather_terrain_setter:0.3973;hazard_setter:0.3298	0.3973	0.0	0.4774	-0.0801	D	0.3973	0.473	0.3	0.2	0.5	support	ABILITY_STURDY	Calm	ITEM_BERRY_JUICE	TRUE	Fury Cutter,Sandstorm,Spikes,Rock Blast	325	2	Asserted	wild	0.0167	Derived	0.0	NA	FALSE
SPECIES_NYMBLE	Nymble	2	weather_terrain_setter	NA	weather_terrain_setter:0.3971	0.3971	0.0	0.4774	-0.0803	D	0.3971	0.071	0.3	0.6	0.5	support	ABILITY_SWARM	Calm	ITEM_BERRY_JUICE	TRUE	Struggle Bug,Rain Dance,Tackle,Astonish	210	7	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_NACLI	Nacli	2	weather_terrain_setter	NA	weather_terrain_setter:0.3959;hazard_setter:0.3284	0.3959	0.0	0.4774	-0.0815	D	0.3959	0.459	0.3	0.2	0.5	support	ABILITY_PURIFYING_SALT	Calm	ITEM_BERRY_JUICE	TRUE	Rock Throw,Stealth Rock,Sunny Day,Sandstorm	280	1	Measured	starter:game_start	0.0	Derived	0.0	NA	FALSE
SPECIES_SHELLDER	Shellder	2	weather_terrain_setter	NA	weather_terrain_setter:0.393;hazard_setter:0.3255	0.393	0.0	0.4774	-0.0844	D	0.393	0.43	0.3	0.2	0.5	support	ABILITY_SHELL_ARMOR	Calm	ITEM_BERRY_JUICE	TRUE	Water Gun,Rain Dance,Spikes,Tackle	305	7	Asserted	wild	0.0167	Derived	0.0	NA	FALSE
SPECIES_PHANPY	Phanpy	2	weather_terrain_setter	NA	weather_terrain_setter:0.3904;hazard_setter:0.3229;phazer:0.2329	0.3904	0.4562	0.4774	-0.087	D	-0.0658	0.604	0.3	0.0	0.5	support	ABILITY_PICKUP	Calm	ITEM_BERRY_JUICE	TRUE	Rapid Spin,Roar,Stealth Rock,Sunny Day	330	1	Asserted	wild	0.0333	Derived	0.0	NA	FALSE
SPECIES_CLAMPERL	Clamperl	2	weather_terrain_setter	NA	weather_terrain_setter:0.3883	0.3883	0.0	0.4774	-0.0891	D	0.3883	0.383	0.3	0.2	0.5	support	ABILITY_SHELL_ARMOR	Calm	ITEM_BERRY_JUICE	TRUE	Clamp,Rain Dance,Bubble,Whirlpool	345	1	Asserted	wild	0.05	Derived	0.0	NA	FALSE
SPECIES_CLAUNCHER	Clauncher	2	weather_terrain_setter	NA	weather_terrain_setter:0.3843	0.3843	0.0	0.4774	-0.0931	D	0.3843	0.343	0.3	0.2	0.5	support	ABILITY_MEGA_LAUNCHER	Calm	ITEM_BERRY_JUICE	TRUE	Water Gun,Rain Dance,Vise Grip,Bubble	330	1	Asserted	wild	0.0167	Derived	0.1964	ITEM_CHOICE_SPECS	FALSE
SPECIES_CUBONE	Cubone	2	weather_terrain_setter	NA	weather_terrain_setter:0.3818	0.3818	0.0	0.4774	-0.0956	D	0.3818	0.518	0.3	0.0	0.5	support	ABILITY_ROCK_HEAD	Calm	ITEM_BERRY_JUICE	TRUE	Bone Club,Sunny Day,Sandstorm,Headbutt	320	2	Asserted	wild	0.1833	Derived	0.0	NA	FALSE
SPECIES_POPPLIO	Popplio	2	weather_terrain_setter	NA	weather_terrain_setter:0.3804	0.3804	0.5428	0.4774	-0.097	D	-0.1624	0.304	0.3	0.2	0.5	support	ABILITY_TORRENT	Calm	ITEM_BERRY_JUICE	TRUE	Water Gun,Rain Dance,Pound,Disarming Voice	320	1	Measured	starter:game_start	0.0333	Derived	0.135	ITEM_LIFE_ORB	FALSE
SPECIES_PALPITOAD	Palpitoad	2	weather_terrain_setter	NA	weather_terrain_setter:0.3789	0.3789	0.0	0.4774	-0.0985	D	0.3789	0.489	0.3	0.0	0.5	support	ABILITY_SWIFT_SWIM	Calm	ITEM_BERRY_JUICE	TRUE	Bubble,Snowscape,Rain Dance,Round	384	3	Derived	evolution:EVO_LEVEL@25:from SPECIES_TYMPOLE	0.1	Derived	0.3781	ITEM_LIFE_ORB	FALSE
SPECIES_LOUDRED	Loudred	2	weather_terrain_setter	NA	weather_terrain_setter:0.3774	0.3774	0.0	0.4774	-0.1	D	0.3774	0.474	0.3	0.0	0.5	support	ABILITY_SOUNDPROOF	Calm	ITEM_BERRY_JUICE	TRUE	Hyper Voice,Sunny Day,Rain Dance,Bite	360	2	Derived	evolution:EVO_LEVEL@20:from SPECIES_WHISMUR	0.1167	Derived	0.0	NA	FALSE
SPECIES_SANDSHREW	Sandshrew	2	weather_terrain_setter	NA	weather_terrain_setter:0.3773;hazard_setter:0.3098	0.3773	0.0	0.4774	-0.1001	F	0.3773	0.473	0.3	0.0	0.5	support	ABILITY_SAND_VEIL	Calm	ITEM_BERRY_JUICE	TRUE	Scratch,Stealth Rock,Sunny Day,Sandstorm	300	2	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_HORSEA	Horsea	2	weather_terrain_setter	NA	weather_terrain_setter:0.3772	0.3772	0.0	0.4774	-0.1002	F	0.3772	0.272	0.3	0.2	0.5	support	ABILITY_SWIFT_SWIM	Calm	ITEM_BERRY_JUICE	TRUE	Bubble,Rain Dance,Water Gun,Twister	295	1	Asserted	wild	0.0167	Derived	0.0	NA	FALSE
SPECIES_VULPIX_ALOLA	Vulpix-Alola	2	weather_terrain_setter	NA	weather_terrain_setter:0.3771;phazer:0.2196	0.3771	0.3321	0.4774	-0.1003	F	0.045	0.271	0.3	0.2	0.5	support	ABILITY_SERENE_GRACE	Calm	ITEM_BERRY_JUICE	TRUE	Powder Snow,Roar,Snowscape,Rain Dance	299	1	Asserted	wild	0.0333	Derived	0.0	NA	FALSE
SPECIES_LOMBRE	Lombre	2	weather_terrain_setter	NA	weather_terrain_setter:0.3764	0.3764	0.506	0.4774	-0.101	F	-0.1296	0.464	0.3	0.0	0.5	support	ABILITY_SWIFT_SWIM	Calm	ITEM_BERRY_JUICE	TRUE	Absorb,Sunny Day,Rain Dance,Astonish	340	1	Derived	evolution:EVO_LEVEL@14:from SPECIES_LOTAD	0.0	Derived	0.0	NA	FALSE
SPECIES_MAGBY	Magby	2	weather_terrain_setter	NA	weather_terrain_setter:0.3746	0.3746	0.2171	0.4774	-0.1028	F	0.1575	0.246	0.3	0.2	0.5	support	ABILITY_FLAME_BODY	Calm	ITEM_BERRY_JUICE	TRUE	Ember,Sunny Day,Smog,Feint Attack	365	1	Asserted	wild	0.0333	Derived	0.0	NA	FALSE
SPECIES_LARVITAR	Larvitar	2	weather_terrain_setter	NA	weather_terrain_setter:0.3738;hazard_setter:0.3063	0.3738	0.3738	0.4774	-0.1036	F	0.0	0.238	0.3	0.2	0.5	support	ABILITY_GUTS	Calm	ITEM_BERRY_JUICE	TRUE	Rock Slide,Sandstorm,Stealth Rock,Sunny Day	300	6	Asserted	wild	0.05	Derived	0.0	NA	FALSE
SPECIES_VANILLITE	Vanillite	2	weather_terrain_setter	NA	weather_terrain_setter:0.3731	0.3731	0.5081	0.4774	-0.1043	F	-0.135	0.231	0.3	0.2	0.5	support	ABILITY_ICE_BODY	Calm	ITEM_BERRY_JUICE	TRUE	Icicle Spear,Snowscape,Rain Dance,Astonish	305	7	Asserted	wild	0.0833	Derived	0.256	ITEM_CHOICE_SPECS	FALSE
SPECIES_PANPOUR	Panpour	2	weather_terrain_setter	NA	weather_terrain_setter:0.3728	0.3728	0.0	0.4774	-0.1046	F	0.3728	0.228	0.3	0.2	0.5	support	ABILITY_GLUTTONY	Calm	ITEM_BERRY_JUICE	TRUE	Water Pulse,Rain Dance,Scratch,Lick	316	1	Asserted	wild	0.05	Derived	0.2396	ITEM_CHOICE_SPECS	FALSE
SPECIES_SHROOMISH	Shroomish	2	weather_terrain_setter	NA	weather_terrain_setter:0.3694	0.3694	0.5919	0.4774	-0.108	F	-0.2225	0.394	0.3	0.0	0.5	support	ABILITY_EFFECT_SPORE	Calm	ITEM_BERRY_JUICE	TRUE	Absorb,Sunny Day,Tackle,Mega Drain	295	1	Asserted	wild	0.1333	Derived	0.0	NA	FALSE
SPECIES_MASCHIFF	Maschiff	2	weather_terrain_setter	NA	weather_terrain_setter:0.3687	0.3687	0.2112	0.4774	-0.1087	F	0.1575	0.387	0.3	0.0	0.5	support	ABILITY_INTIMIDATE	Calm	ITEM_BERRY_JUICE	TRUE	Snarl,Sunny Day,Rain Dance,Tackle	340	12	Asserted	wild	0.0	Derived	0.0	NA	FALSE
SPECIES_SCRAGGY	Scraggy	2	weather_terrain_setter	NA	weather_terrain_setter:0.3682	0.3682	0.0	0.4774	-0.1092	F	0.3682	0.382	0.3	0.0	0.5	support	ABILITY_SHED_SKIN	Calm	ITEM_BERRY_JUICE	TRUE	Low Sweep,Sunny Day,Rain Dance,Headbutt	348	3	Asserted	wild	0.1167	Derived	0.0	NA	FALSE
SPECIES_CHIMCHAR	Chimchar	2	weather_terrain_setter	NA	weather_terrain_setter:0.3667;hazard_setter:0.2992	0.3667	0.0	0.4774	-0.1107	F	0.3667	0.167	0.3	0.2	0.5	support	ABILITY_BLAZE	Calm	ITEM_BERRY_JUICE	TRUE	Ember,Stealth Rock,Sunny Day,Scratch	309	1	Measured	starter:game_start	0.0333	Derived	0.0	NA	FALSE
